instance cp2016 incmc2 incmc2o1 incmc2o2
mcs30_b09_s50_AB02 X X X X
mcs30_b09_s50_AB03 X X X X
mcs30_b09_s50_AB04 X X X X
mcs30_b09_s50_AB05 X X X X
mcs30_b09_s50_AB06 X X X X
mcs30_b09_s50_AB07 X X X X
mcs30_b09_s50_AB08 X X X X
mcs30_b09_s50_AB09 X X X X
mcs30_b09m_s35_AB00 X X X X
mcs30_b09m_s35_AB01 X X X X
mcs30_b09m_s35_AB02 X X X X
mcs30_b09m_s35_AB03 X 19 19 X
mcs30_b09m_s35_AB04 X X X X
mcs30_b09m_s35_AB05 X X X X
mcs30_b09m_s35_AB06 X X X X
mcs30_b09m_s35_AB07 X X X X
mcs30_b09m_s35_AB08 X X X X
mcs30_b09m_s35_AB09 X X X X
mcs30_b09m_s40_AB00 X X X X
mcs30_b09m_s40_AB01 X X X X
mcs30_b09m_s40_AB02 X X X X
mcs30_b09m_s40_AB03 X X X X
mcs30_b09m_s40_AB04 X X X X
mcs30_b09m_s40_AB05 X X X X
mcs30_b09m_s40_AB06 X X X X
mcs30_b09m_s40_AB07 X X X X
mcs30_b09m_s40_AB08 X X X X
mcs30_b09m_s40_AB09 X X X X
mcs30_b09m_s50_AB00 X X X X
mcs30_b09m_s50_AB01 X X X X
mcs30_b09m_s50_AB02 X X X X
mcs30_b09m_s50_AB03 X X X X
mcs30_b09m_s50_AB04 X X X X
mcs30_b09m_s50_AB05 X X X X
mcs30_b09m_s50_AB06 X X X X
mcs30_b09m_s50_AB07 X X X X
mcs30_b09m_s50_AB08 X X X X
mcs30_b09m_s50_AB09 X X X X
mcs30_m2D_s30_AB00 22 X X X
mcs30_m2D_s30_AB01 23 X X X
mcs30_m2D_s30_AB02 X X X X
mcs30_m2D_s30_AB03 23 X X X
mcs30_m2D_s30_AB04 23 X X X
mcs30_m2D_s30_AB05 22 X X X
mcs30_m2D_s30_AB06 X X X X
mcs30_m2D_s30_AB07 22 X X X
mcs30_m2D_s30_AB08 22 X X X
mcs30_m2D_s30_AB09 23 X X X
mcs30_m2D_s50_AB00 X X X X
mcs30_m2D_s50_AB01 X X X X
mcs30_m2D_s50_AB02 X X X X
mcs30_m2D_s50_AB03 X X X X
mcs30_m2D_s50_AB04 X X X X
mcs30_m2D_s50_AB05 X X X X
mcs30_m2D_s50_AB06 X X X X
mcs30_m2D_s50_AB07 X X X X
mcs30_m2D_s50_AB08 X X X X
mcs30_m2D_s50_AB09 X X X X
mcs30_m2Dr2_s30_AB00 22 X X X
mcs30_m2Dr2_s30_AB01 X X X X
mcs30_m2Dr2_s30_AB02 23 X X X
mcs30_m2Dr2_s30_AB03 22 X X X
mcs30_m2Dr2_s30_AB04 22 X X X
mcs30_m2Dr2_s30_AB05 22 X X X
mcs30_m2Dr2_s30_AB06 22 X X X
mcs30_m2Dr2_s30_AB07 X X X X
mcs30_m2Dr2_s30_AB08 22 X X X
mcs30_m2Dr2_s30_AB09 22 X X X
mcs30_m2Dr2_s50_AB00 X X X X
mcs30_m2Dr2_s50_AB01 X X X X
mcs30_m2Dr2_s50_AB02 X X X X
mcs30_m2Dr2_s50_AB03 X X X X
mcs30_m2Dr2_s50_AB04 X X X X
mcs30_m2Dr2_s50_AB05 X X X X
mcs30_m2Dr2_s50_AB06 X X X X
mcs30_m2Dr2_s50_AB07 X X X X
mcs30_m2Dr2_s50_AB08 X X X X
mcs30_m2Dr2_s50_AB09 X X X X
mcs30_m2Dr4_s30_AB00 21 X X X
mcs30_m2Dr4_s30_AB01 22 X X X
mcs30_m2Dr4_s30_AB02 21 X X X
mcs30_m2Dr4_s30_AB03 21 X X X
mcs30_m2Dr4_s30_AB04 21 X X X
mcs30_m2Dr4_s30_AB05 21 X X X
mcs30_m2Dr4_s30_AB06 22 X X X
mcs30_m2Dr4_s30_AB07 21 X X X
mcs30_m2Dr4_s30_AB08 21 X X X
mcs30_m2Dr4_s30_AB09 21 X X X
mcs30_m2Dr4_s50_AB00 X X X X
mcs30_m2Dr4_s50_AB01 X X X X
mcs30_m2Dr4_s50_AB02 X X X X
mcs30_m2Dr4_s50_AB03 X X X X
mcs30_m2Dr4_s50_AB04 X X X X
mcs30_m2Dr4_s50_AB05 X X X X
