p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.3	5	9	14	16	13	1.23076923076923	4.98069924991578
0.3	5	10	13	15	14	1.07142857142857	5.09944814033806
0.3	6	1	13	11	12	0.916666666666667	6.04395571495406
0.3	6	2	14	12	11	1.09090909090909	6.06708429278806
0.3	6	3	10	11	11	1	6.0207045039162
0.3	6	4	15	15	15	1	5.95128888692707
0.3	6	5	13	13	14	0.928571428571429	5.92886077696457
0.3	6	6	13	13	14	0.928571428571429	6.05950714736246
0.3	6	7	16	15	15	1	5.95891416510567
0.3	6	8	13	12	11	1.09090909090909	6.06556783956476
0.3	6	9	12	12	14	0.857142857142857	6.08684986960143
0.3	6	10	12	14	12	1.16666666666667	5.91815254767425
0.3	7	1	13	12	13	0.923076923076923	7.0832801240962
0.3	7	2	13	10	12	0.833333333333333	6.99413441838697
0.3	7	3	15	13	12	1.08333333333333	6.90727010723203
0.3	7	4	15	11	12	0.916666666666667	6.98574813269079
0.3	7	5	15	12	13	0.923076923076923	7.05025237877853
0.3	7	6	14	12	12	1	6.97580610630102
0.3	7	7	10	9	9	1	7.03097984450869
0.3	7	8	18	13	12	1.08333333333333	6.99083841331303
0.3	7	9	13	11	11	1	6.96035988046788
0.3	7	10	9	9	9	1	6.93043765439652
0.3	8	1	9	10	11	0.909090909090909	8.04958615037613
0.3	8	2	14	12	13	0.923076923076923	8.07139223203994
0.3	8	3	13	11	11	1	8.09253541296348
0.3	8	4	16	12	12	1	8.06154603953473
0.3	8	5	11	10	10	1	7.97026572106406
0.3	8	6	15	11	12	0.916666666666667	8.08607779890299
0.3	8	7	15	12	12	1	8.01701725027524
0.3	8	8	14	11	13	0.846153846153846	7.91192660005763
0.3	8	9	13	11	12	0.916666666666667	7.91600199118257
0.3	8	10	14	11	11	1	8.06152579099871
0.3	9	1	14	11	11	1	8.92950902478769
0.3	9	2	13	10	9	1.11111111111111	8.90964787947014
0.3	9	3	12	9	9	1	8.97885883413255
0.3	9	4	14	10	12	0.833333333333333	9.00406367252581
0.3	9	5	10	9	9	1	9.01974569847807
