instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si4_b09_m400.09 160 400 138 3 160 1.0
si4_b06m_m400.06 160 400 188 3 160 1.0
si4_b06m_m400.03 160 400 111 3 160 1.0
si4_b06m_m400.01 160 400 115 2 160 1.0
si4_b06m_m400.08 160 400 115 3 160 1.0
si4_b06m_m400.05 160 400 119 3 160 1.0
si4_b06m_m400.07 160 400 184 2 160 1.0
si4_b06m_m400.00 160 400 143 3 160 1.0
si4_b06m_m400.04 160 400 134 2 160 1.0
si4_b06m_m400.09 160 400 201 2 160 1.0
si4_b06m_m400.02 160 400 142 2 160 1.0
si2_m4Dr2_m625.05 125 625 206 8 125 1.0
si2_m4Dr2_m625.00 125 625 310 7 125 1.0
si2_m4Dr2_m625.08 125 625 221 4 125 1.0
si2_m4Dr2_m625.09 125 625 208 6 125 1.0
si2_m4Dr2_m625.06 125 625 215 11 125 1.0
si2_m4Dr2_m625.04 125 625 239 17 125 1.0
si2_m4Dr2_m625.01 125 625 261 17 125 1.0
si2_m4Dr2_m625.03 125 625 230 6 125 1.0
si2_m4Dr2_m625.02 125 625 218 13 125 1.0
si2_m4Dr2_m625.07 125 625 220 4 125 1.0
si2_r005_m200.02 40 200 120 1 40 1.0
si2_r005_m200.01 40 200 2953 5619 40 1.0
si2_r005_m200.03 40 200 300 32 40 1.0
si2_r005_m200.05 40 200 5779 448 40 1.0
si2_r005_m200.08 40 200 1542 199 40 1.0
si2_r005_m200.04 40 200 164 91 40 1.0
si2_r005_m200.09 40 200 303 75 40 1.0
si2_r005_m200.06 40 200 378 21 40 1.0
si2_r005_m200.00 40 200 1545 107 40 1.0
si2_r005_m200.07 40 200 136 52 40 1.0
si4_b03m_m400.03 160 400 122 2 160 1.0
si4_b03m_m400.09 160 400 147 3 160 1.0
si4_b03m_m400.08 160 400 131 2 160 1.0
si4_b03m_m400.04 160 400 103 2 160 1.0
si4_b03m_m400.00 160 400 105 2 160 1.0
si4_b03m_m400.01 160 400 105 2 160 1.0
si4_b03m_m400.07 160 400 136 3 160 1.0
si4_b03m_m400.02 160 400 181 3 160 1.0
si4_b03m_m400.06 160 400 126 2 160 1.0
si4_b03m_m400.05 160 400 100 2 160 1.0
si2_r01_m600.01 120 600 1000000 6213 120 1.0
si2_r01_m600.06 120 600 1000000 20617 120 1.0
si2_r01_m600.09 120 600 1000000 47716 120 1.0
si2_r01_m600.08 120 600 1000000 87497 120 1.0
si2_r01_m600.04 120 600 1000000 18577 120 1.0
si2_r01_m600.02 120 600 1000000 23674 120 1.0
si2_r01_m600.00 120 600 1000000 11724 120 1.0
si2_r01_m600.07 120 600 1000000 7496 120 1.0
si2_r01_m600.03 120 600 1000000 11446 120 1.0
si2_r01_m600.05 120 600 1000000 15918 120 1.0
si4_m4Dr6_m256.01 102 256 44 1 102 1.0
si4_m4Dr6_m256.00 102 256 68 4 102 1.0
si4_m4Dr6_m256.05 102 256 52 5 102 1.0
si4_m4Dr6_m256.08 102 256 76 3 102 1.0
si4_m4Dr6_m256.03 102 256 66 1 102 1.0
si4_m4Dr6_m256.06 102 256 70 2 102 1.0
si4_m4Dr6_m256.09 102 256 75 1 102 1.0
si4_m4Dr6_m256.07 102 256 59 17 102 1.0
si4_m4Dr6_m256.02 102 256 44 1 102 1.0
si4_m4Dr6_m256.04 102 256 75 2 102 1.0
si2_b03m_m400.02 80 400 74 5 80 1.0
si2_b03m_m400.00 80 400 73 2 80 1.0
si2_b03m_m400.01 80 400 75 1 80 1.0
si2_b03m_m400.05 80 400 91 4 80 1.0
si2_b03m_m400.08 80 400 75 2 80 1.0
si2_b03m_m400.07 80 400 124 2 80 1.0
si2_b03m_m400.09 80 400 113 1 80 1.0
si2_b03m_m400.03 80 400 75 2 80 1.0
si2_b03m_m400.04 80 400 75 1 80 1.0
si2_b03m_m400.06 80 400 77 1 80 1.0
si2_b03m_m200.05 40 200 16 0 40 1.0
si2_b03m_m200.03 40 200 16 0 40 1.0
si2_b03m_m200.00 40 200 25 1 40 1.0
si2_b03m_m200.08 40 200 28 0 40 1.0
si2_b03m_m200.06 40 200 17 0 40 1.0
si2_b03m_m200.02 40 200 16 0 40 1.0
si2_b03m_m200.09 40 200 17 0 40 1.0
si2_b03m_m200.04 40 200 27 0 40 1.0
si2_b03m_m200.01 40 200 27 0 40 1.0
si2_b03m_m200.07 40 200 16 0 40 1.0
si4_r001_m200.04 80 200 29 10 80 1.0
si4_r001_m200.07 80 200 42 6 80 1.0
si4_r001_m200.00 80 200 27 64 80 1.0
si4_r001_m200.01 80 200 27 1 80 1.0
si4_r001_m200.03 80 200 27 326 80 1.0
si4_r001_m200.06 80 200 26 4 80 1.0
si4_r001_m200.05 80 200 33 30 80 1.0
si4_r001_m200.08 80 200 33 2 80 1.0
si4_r001_m200.09 80 200 35 360 80 1.0
si4_r001_m200.02 80 200 50 17 80 1.0
si2_m4D_m256.08 51 256 50 1 51 1.0
si2_m4D_m256.03 51 256 31 0 51 1.0
si2_m4D_m256.02 51 256 33 1 51 1.0
si2_m4D_m256.06 51 256 50 0 51 1.0
si2_m4D_m256.04 51 256 48 1 51 1.0
si2_m4D_m256.07 51 256 49 1 51 1.0
si2_m4D_m256.01 51 256 45 1 51 1.0
si2_m4D_m256.09 51 256 39 0 51 1.0
si2_m4D_m256.00 51 256 30 0 51 1.0
si2_m4D_m256.05 51 256 51 1 51 1.0
si6_r01_m400.04 240 400 125645 33 240 1.0
si6_r01_m400.08 240 400 114116 43 240 1.0
si6_r01_m400.07 240 400 93417 4 240 1.0
si6_r01_m400.06 240 400 74527 60 240 1.0
si6_r01_m400.05 240 400 226192 13 240 1.0
si6_r01_m400.02 240 400 173892 10 240 1.0
si6_r01_m400.00 240 400 281029 27 240 1.0
si6_r01_m400.03 240 400 24012 142 240 1.0
si6_r01_m400.01 240 400 73647 130 240 1.0
si6_r01_m400.09 240 400 136241 295 240 1.0
si2_m4Dr4_m625.07 125 625 227 30 125 1.0
