i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
7 1 0.1 3500 700 6248 3011 35598 2919 4534 4525 255966 117593 88077 74356 45583
8 1 0.1 3500 700 3009 1586 1592 1592 1580 1582 339090 171790 82719 68197 69081
9 1 0.1 3500 700 1552 877 1961 947 1127 1130 1025705 604194 22680 21230 57755
10 1 0.1 3500 700 2859 1252 4586 1223 1012 1006 178074 70241 22616 21903 18368
1 1 0.1 4000 800 9606 5517 5508 5503 8131 8206 432063 200598 461055 384327 282949
2 1 0.1 4000 800 4198 2332 56283 2318 2045 2022 339732 141556 147986 127145 26970
3 1 0.1 4000 800 9442 5168 10037 5167 6907 6815 494833 229737 1376966 894266 105672
4 1 0.1 4000 800 11520 6401 6394 6369 9565 9634 484715 231403 406120 340824 418898
5 1 0.1 4000 800 3726 2144 2188 2160 2188 2216 419955 197796 149572 129553 130918
6 1 0.1 4000 800 10138 5331 5392 5373 6784 6804 376376 157228 628433 525677 99094
7 1 0.1 4000 800 9206 5110 5171 5101 5324 5319 453548 221991 462617 396449 106265
8 1 0.1 4000 800 12761 6984 7204 7798 10021 9978 352096 155222 156079 135369 298206
9 1 0.1 4000 800 6811 3970 3968 3940 5910 5822 383931 167632 153515 132707 78635
10 1 0.1 4000 800 7242 3964 4066 4024 5030 5062 443559 215167 248325 203296 91036
1 1 0.1 4500 900 16353 8438 13678 8596 11200 10911 557955 248709 63757 59554 649086
2 1 0.1 4500 900 14970 7898 13666 8074 9947 9927 575986 242655 265641 227565 387924
3 1 0.1 4500 900 5376 3087 127226 2827 2092 2080 545919 245118 291486 243750 357544
4 1 0.1 4500 900 12899 6663 6661 6623 7593 7528 648748 306849 280724 236735 167890
5 1 0.1 4500 900 19447 9817 10460 9484 12391 12124 4192353 2563618 941424 750381 544509
6 1 0.1 4500 900 16290 8389 14638 8452 11809 11810 270571 73254 286722 246641 184822
7 1 0.1 4500 900 8086 4366 12261 4307 4649 4670 568795 246787 225557 195614 119821
8 1 0.1 4500 900 15687 9299 18152 8590 10304 10285 728483 349550 135231 120460 150935
9 1 0.1 4500 900 15079 7949 7954 8022 8977 8961 521291 218501 363537 314356 171910
10 1 0.1 4500 900 14451 7484 7523 7632 10929 10981 516537 230637 2503820 2060994 167177
1 1 0.1 5000 1000 15647 8298 8236 8703 10437 10434 1588115 849178 541017 452538 170485
2 1 0.1 5000 1000 8856 5059 4864 4998 6019 5973 1291238 663656 108467 99370 327620
3 1 0.1 5000 1000 29330 14172 24724 16677 16094 16079 521448 175283 433951 357475 1063259
4 1 0.1 5000 1000 27580 14659 14448 14484 20621 20606 1022709 473245 452120 379322 1154973
5 1 0.1 5000 1000 6955 3545 28800 3629 3844 3831 718073 309897 518854 437225 48466
6 1 0.1 5000 1000 19380 12119 37508 10540 15239 15156 998341 483487 516027 442825 232576
7 1 0.1 5000 1000 21709 11804 10752 10665 14666 14667 885813 431544 484767 406891 294654
8 1 0.1 5000 1000 25989 13594 13726 13542 14925 14975 938629 440819 547384 453041 320728
9 1 0.1 5000 1000 22638 11080 18164 11087 14477 14484 1319913 723623 1629980 1351388 336234
10 1 0.1 5000 1000 39789 18864 19739 19468 24851 24874 941048 462608 471608 396946 826032
1 1 0.2 300 60 10 5 110 5 10 10 71 23 77 62 75
2 1 0.2 300 60 8 4 26 4 7 5 59 13 74 106 73
3 1 0.2 300 60 14 9 14 9 18 18 71 35 210 98 243
4 1 0.2 300 60 12 11 7 7 10 15 79 27 71 59 112
5 1 0.2 300 60 12 7 12 7 15 15 105 37 193 114 138
6 1 0.2 300 60 10 5 5 5 8 8 71 21 140 71 175
7 1 0.2 300 60 11 10 6 6 8 8 63 15 117 66 139
