i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
7 8 0.4 1250 250 131 36 36 37 40 41 6352 336 1403 1360 997
8 8 0.4 1250 250 119 31 31 31 36 44 6220 315 1754 1388 710
9 8 0.4 1250 250 120 32 32 32 36 36 6205 326 1398 1383 872
10 8 0.4 1250 250 114 30 30 30 33 33 6265 309 1630 1531 997
1 8 0.4 1500 300 238 79 79 80 81 82 11634 751 3710 3304 1988
2 8 0.4 1500 300 203 64 64 64 67 68 11477 608 3665 3413 1568
3 8 0.4 1500 300 236 76 117 76 81 82 11565 704 4373 3856 1955
4 8 0.4 1500 300 227 72 71 71 75 76 11875 654 3878 3474 1875
5 8 0.4 1500 300 234 71 93 71 70 70 11679 680 4035 3520 2582
6 8 0.4 1500 300 249 80 80 80 81 82 11829 741 3355 2931 2026
7 8 0.4 1500 300 271 91 88 89 94 94 11671 695 4061 3598 2269
8 8 0.4 1500 300 243 83 82 82 84 84 11707 729 3363 3025 2186
9 8 0.4 1500 300 226 70 95 71 68 68 11603 635 3000 2744 1919
10 8 0.4 1500 300 246 72 86 72 83 82 11531 633 3936 3504 1436
1 8 0.4 2000 400 678 267 325 266 244 246 33025 2218 16308 14365 8026
2 8 0.4 2000 400 613 243 242 243 228 224 33100 2243 17326 14972 7772
3 8 0.4 2000 400 636 264 310 264 247 241 32869 2153 16337 14028 8766
4 8 0.4 2000 400 631 266 330 262 237 234 33049 2340 16226 13785 8682
5 8 0.4 2000 400 598 253 256 254 224 222 33178 2305 16939 14120 8944
6 8 0.4 2000 400 542 219 219 222 197 196 33040 2193 15955 14073 7786
7 8 0.4 2000 400 655 273 275 277 243 244 33020 2420 17741 15216 7978
8 8 0.4 2000 400 609 246 342 247 218 218 33261 2416 19986 16935 8991
9 8 0.4 2000 400 560 214 216 214 185 186 33315 2481 15952 13441 8480
10 8 0.4 2000 400 571 232 287 232 214 215 32595 2070 17071 14878 9126
1 8 0.4 2500 500 1349 635 631 631 494 494 77090 5849 48236 40762 27465
2 8 0.4 2500 500 1284 614 911 618 481 481 77025 5834 71747 59263 25098
3 8 0.4 2500 500 1411 676 897 690 511 511 77122 5845 54418 46053 22329
4 8 0.4 2500 500 1313 639 635 641 491 497 77788 6120 53948 45969 31678
5 8 0.4 2500 500 1436 688 694 689 534 534 77565 6631 52931 44057 20981
6 8 0.4 2500 500 1130 545 694 555 454 443 76247 5084 48291 39908 13516
7 8 0.4 2500 500 1464 683 974 688 523 524 77628 6002 56095 45837 25507
8 8 0.4 2500 500 1312 648 651 654 494 493 77667 6120 54447 45780 25985
9 8 0.4 2500 500 1421 677 678 682 520 522 77464 5889 55979 46850 21958
10 8 0.4 2500 500 1317 647 880 646 515 511 77340 5769 63956 54053 23290
1 8 0.4 3000 600 2932 1432 2379 1437 949 944 160445 14275 159344 127785 65900
2 8 0.4 3000 600 2782 1480 2304 1474 972 980 160202 14003 159602 140013 61034
3 8 0.4 3000 600 2665 1200 2317 1203 808 810 160216 14413 143854 120659 59535
4 8 0.4 3000 600 3284 1703 1784 1692 1023 1020 160932 14138 153520 125993 56629
5 8 0.4 3000 600 3080 1476 2191 1494 935 934 159233 14109 164021 136694 59404
6 8 0.4 3000 600 2381 1200 1895 1194 791 794 156952 11625 151558 127550 35775
7 8 0.4 3000 600 3352 1685 1688 1934 1008 1007 161760 13919 147473 123220 58166
8 8 0.4 3000 600 2943 1441 1438 1436 902 900 159243 13353 145785 127522 50601
9 8 0.4 3000 600 3093 1600 2238 1583 969 970 159828 13821 139693 114640 56685
10 8 0.4 3000 600 3175 1789 2478 1650 998 1004 163354 14279 146461 129657 54836
1 8 0.4 3500 700 6874 3497 3485 3489 1708 1721 297209 29138 409409 343973 128911
2 8 0.4 3500 700 6535 3581 5186 3689 1697 1699 297870 29861 365761 314983 184644
3 8 0.4 3500 700 6369 3354 5415 3343 1721 1693 300347 30904 347982 290571 134171
4 8 0.4 3500 700 5765 2998 2959 2960 1551 1554 295342 27516 341474 286172 126857
5 8 0.4 3500 700 7203 3573 4929 3557 1756 1714 299075 30350 339957 297235 126584
6 8 0.4 3500 700 6464 3219 4419 3370 1579 1551 294430 26516 349826 288466 90192
7 8 0.4 3500 700 6879 3571 5153 3397 1949 1688 298216 28675 351752 314222 134113
8 8 0.4 3500 700 6794 3536 4913 3547 1689 1712 304558 30391 411320 350337 154209
9 8 0.4 3500 700 5829 3080 3072 3069 1658 1643 299449 28918 465606 388533 126591
10 8 0.4 3500 700 6768 3902 5205 3642 1714 1719 296230 28557 330817 266938 111195
1 8 0.4 4000 800 12452 6373 6401 6441 2437 2430 507049 55331 904590 808281 294298
2 8 0.4 4000 800 15497 7401 9609 7238 2772 2599 520816 65095 855459 683546 280519
3 8 0.4 4000 800 13843 7043 9407 7029 2768 2720 517326 60281 669234 559633 278727
4 8 0.4 4000 800 11726 6411 8941 6290 2573 2575 513132 55077 844712 727695 209190
5 8 0.4 4000 800 14644 7600 9389 7604 2785 2781 518918 61737 1008038 767536 272911
6 8 0.4 4000 800 12477 6767 6656 6621 2588 2598 518263 55797 961694 791022 259426
7 8 0.4 4000 800 13558 6698 6523 6716 3353 2909 523281 61886 716798 626000 290989
8 8 0.4 4000 800 14113 6920 7000 7067 2489 2536 512292 57875 748209 562317 285860
9 8 0.4 4000 800 14718 7734 9865 7457 2676 2662 508143 56438 776311 626543 228685
10 8 0.4 4000 800 13021 6403 9906 6389 2512 2497 512070 57243 876961 756904 208076
1 8 0.4 4500 900 24970 12447 17159 12804 4049 4047 850430 114870 1592249 1289171 352358
2 8 0.4 4500 900 26195 12969 12866 12826 3933 3929 845360 114049 1552989 1294685 457199
3 8 0.4 4500 900 25114 12071 16914 11943 4128 4109 837879 109404 1428441 1116001 535368
4 8 0.4 4500 900 21897 10922 10991 11608 3662 3730 816695 96164 1767579 1542203 391511
5 8 0.4 4500 900 26114 12505 17211 12349 4038 3941 832212 107539 1448674 1214852 565176
6 8 0.4 4500 900 25544 12126 16605 12026 4013 4000 844049 109674 2391520 2137507 429756
7 8 0.4 4500 900 25517 12923 16058 12951 4290 4292 863203 115269 2027565 1769407 604382
8 8 0.4 4500 900 24638 11915 16972 12128 3856 3849 833013 106282 1462962 1136707 484681
9 8 0.4 4500 900 27565 13688 13925 13491 4029 3951 826627 104921 1526359 1333077 523558
10 8 0.4 4500 900 23928 11358 13088 11668 4320 4273 841728 115932 1567615 1197702 585948
1 8 0.4 5000 1000 41539 21241 21062 21059 5980 6001 1354301 205877 2643555 2526043 927926
2 8 0.4 5000 1000 44278 22054 22184 22183 7094 6377 1334362 195138 2779489 2454653 1134356
3 8 0.4 5000 1000 43184 20082 20106 21538 6336 6357 1351237 217853 3284880 2644443 847271
4 8 0.4 5000 1000 39040 20496 19299 19296 5509 5543 1313771 194612 3305239 2845840 609218
5 8 0.4 5000 1000 42698 20672 35787 20213 5761 5849 1343394 196877 2696968 2340031 933178
6 8 0.4 5000 1000 54501 23572 23635 23509 6454 6583 1336561 205227 3471541 2996148 770271
7 8 0.4 5000 1000 46863 22557 29241 22700 6627 6646 1354409 210968 3768458 2929506 1040210
8 8 0.4 5000 1000 44057 21382 28587 21631 6675 6209 1335200 206802 3440984 2848863 659137
9 8 0.4 5000 1000 44300 24939 28504 22649 6683 6658 1323713 207263 3208818 2798278 751871
10 8 0.4 5000 1000 47372 22334 28181 22193 6343 6360 1334882 206713 3071223 2597405 679517
1 8 0.4 5500 1100 88295 34809 49239 35970 10995 11002 2108067 382847 5074939 4295060 1756615
2 8 0.4 5500 1100 83108 42297 47084 39763 10698 10497 2109204 373385 5338396 4643820 1259322
3 8 0.4 5500 1100 82838 35739 37559 35882 9988 9957 2104286 360378 5795015 4918623 1180551
4 8 0.4 5500 1100 80535 36466 45721 36257 9792 9665 2042344 347858 6792358 5682907 946540
5 8 0.4 5500 1100 82627 35338 44864 35532 9279 9319 2070407 366769 5745299 5024014 1692449
6 8 0.4 5500 1100 76705 36998 46619 36320 10165 10233 2094299 378030 5699112 4707951 1751970
7 8 0.4 5500 1100 72034 34380 37597 37331 9838 9824 2096840 376892 6161698 5253434 1193078
8 8 0.4 5500 1100 78795 35950 42558 35034 9529 9449 2070748 367591 6227735 5262690 1159423
9 8 0.4 5500 1100 79413 36654 48069 37487 10658 10741 2104977 380158 6702161 5427963 1410614
10 8 0.4 5500 1100 80916 39841 47486 39261 10213 10137 2171845 380070 5520362 4753594 1620609
1 8 0.4 6000 1200 139995 58616 67255 56277 14782 14894 3095158 647989 10000000 8302536 2466336
2 8 0.4 6000 1200 142848 57613 71588 57742 13780 13678 3137692 616688 8914703 7560469 2887137
3 8 0.4 6000 1200 120962 51150 68861 51500 12983 13213 3068060 610617 10000000 8043661 2601120
4 8 0.4 6000 1200 132510 55730 71540 57229 12908 12867 3188309 598397 8624997 7156824 2520238
5 8 0.4 6000 1200 124359 54342 69155 55018 13905 13706 3163097 657673 7633296 6512381 2146019
6 8 0.4 6000 1200 154174 61859 74984 60825 14462 14104 3096565 663440 9842577 8072050 2873844
7 8 0.4 6000 1200 134208 53781 56866 56410 13763 13947 3084475 627641 9384635 8205429 2236797
8 8 0.4 6000 1200 127929 61009 70265 61616 14761 14723 3086562 610257 10000000 9711565 1825265
9 8 0.4 6000 1200 149589 59648 69407 59681 14238 14224 3109984 633496 10000000 8537662 2226703
10 8 0.4 6000 1200 142091 62656 59956 62540 14136 14030 3102777 648940 9362768 7759089 2421993
1 8 0.4 6500 1300 236484 86576 104484 90549 20844 20169 4422382 988692 10000000 10000000 3977670
2 8 0.4 6500 1300 194471 77043 97353 78916 18454 18357 4364430 974229 10000000 10000000 3155423
3 8 0.4 6500 1300 226384 83181 88116 84500 20489 19884 4351310 950641 10000000 10000000 3808184
4 8 0.4 6500 1300 210069 88164 97783 79601 18088 17786 4335875 992311 10000000 10000000 2705487
5 8 0.4 6500 1300 211848 80975 84603 77937 18123 18087 4342843 943921 10000000 10000000 3915163
6 8 0.4 6500 1300 210903 79876 109021 85246 20119 19977 4453832 998116 10000000 10000000 3585992
7 8 0.4 6500 1300 203980 81744 104493 87319 18298 18605 4368766 960067 10000000 10000000 3385726
8 8 0.4 6500 1300 209342 80225 79202 85300 18294 18162 4436271 968134 10000000 10000000 3345095
9 8 0.4 6500 1300 212335 84666 84361 82414 18009 17975 4409485 959729 10000000 10000000 3750838
10 8 0.4 6500 1300 239305 90993 114764 93047 19056 19056 4515562 1027386 10000000 10000000 3874004
1 8 0.4 7000 1400 317393 113219 111819 114493 23940 23649 6149021 1474573 10000000 10000000 6643355
2 8 0.4 7000 1400 338756 124536 122298 128448 26998 26860 5937116 1433010 10000000 10000000 5944847
3 8 0.4 7000 1400 324101 126441 130710 125263 26104 26462 6116375 1507460 10000000 10000000 6516924
4 8 0.4 7000 1400 338990 122496 185827 124825 27397 27639 6168357 1576758 10000000 10000000 5067602
5 8 0.4 7000 1400 310286 121297 119168 120014 25387 25318 6092666 1516765 10000000 10000000 7157492
6 8 0.4 7000 1400 342270 125903 126481 133533 28303 27933 6256035 1644179 10000000 10000000 6503495
7 8 0.4 7000 1400 303169 118999 156498 118437 26000 25777 6065983 1489442 10000000 10000000 5114732
8 8 0.4 7000 1400 313422 123569 117802 117910 25722 25677 6136879 1558453 10000000 10000000 4326174
9 8 0.4 7000 1400 322376 120547 158805 126237 27415 27652 6125305 1515598 10000000 10000000 3869459
10 8 0.4 7000 1400 326137 118413 157986 124709 25999 25824 6177008 1589793 10000000 10000000 6591575
