instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs30_b03_s30_AB05 28800 28800 28800 28800 -1
mcs30_b03_s30_AB06 202178 202178 202178 -1 -1
mcs30_b03_s30_AB07 96 96 96 96 -1
mcs30_b03_s30_AB08 7986 7986 7986 -1 -1
mcs30_b03_s30_AB09 25280 25280 25280 25280 -1
mcs30_b03_s35_AB00 80424 80424 -1 -1 -1
mcs30_b03_s35_AB01 58568 58568 -1 -1 -1
mcs30_b03_s35_AB02 96 96 96 -1 -1
mcs30_b03_s35_AB03 4816 4816 -1 -1 -1
mcs30_b03_s35_AB04 235060 235060 235060 -1 -1
mcs30_b03_s35_AB05 15132 15132 15132 -1 -1
mcs30_b03_s35_AB06 8 8 8 -1 -1
mcs30_b03_s35_AB07 23092 23092 -1 -1 -1
mcs30_b03_s35_AB08 906144 906144 906144 -1 -1
mcs30_b03_s35_AB09 92536 92536 -1 -1 -1
mcs30_b03_s40_AB00 464048 464048 -1 -1 -1
mcs30_b03_s40_AB01 149650 149650 -1 -1 -1
mcs30_b03_s40_AB02 4828568 4828568 -1 -1 -1
mcs30_b03_s40_AB03 682224 682224 -1 -1 -1
mcs30_b03_s40_AB04 1078576 1078576 -1 -1 -1
mcs30_b03_s40_AB05 194080 194080 -1 -1 -1
mcs30_b03_s40_AB06 1288800 1288800 -1 -1 -1
mcs30_b03_s40_AB07 659152 659152 -1 -1 -1
mcs30_b03_s40_AB08 2738688 2738688 -1 -1 -1
mcs30_b03_s40_AB09 312480 312480 -1 -1 -1
mcs30_b03_s50_AB00 -1 -1 -1 -1 -1
mcs30_b03_s50_AB01 -1 -1 -1 -1 -1
mcs30_b03_s50_AB02 -1 -1 -1 -1 -1
mcs30_b03_s50_AB03 -1 -1 -1 -1 -1
mcs30_b03_s50_AB04 -1 -1 -1 -1 -1
mcs30_b03_s50_AB05 -1 -1 -1 -1 -1
mcs30_b03_s50_AB06 -1 -1 -1 -1 -1
mcs30_b03_s50_AB07 -1 -1 -1 -1 -1
mcs30_b03_s50_AB08 -1 -1 -1 -1 -1
mcs30_b03_s50_AB09 -1 -1 -1 -1 -1
mcs30_b03m_s15_AB00 46 46 46 46 46
mcs30_b03m_s15_AB01 429 429 429 429 429
mcs30_b03m_s15_AB02 1971 1971 1971 1971 1971
mcs30_b03m_s15_AB03 12 12 12 12 12
mcs30_b03m_s15_AB04 1252 1252 1252 1252 1252
mcs30_b03m_s15_AB05 12 12 12 12 12
mcs30_b03m_s15_AB06 1328 1328 1328 1328 1328
mcs30_b03m_s15_AB07 2940 2940 2940 2940 2940
mcs30_b03m_s15_AB08 578 578 578 578 578
mcs30_b03m_s15_AB09 4 4 4 4 4
mcs30_b03m_s20_AB00 41600 41600 41600 41600 41600
mcs30_b03m_s20_AB01 43632 43632 43632 43632 43632
mcs30_b03m_s20_AB02 4044 4044 4044 4044 4044
mcs30_b03m_s20_AB03 856 856 856 856 856
mcs30_b03m_s20_AB04 138 138 138 138 138
mcs30_b03m_s20_AB05 3356 3356 3356 3356 3356
mcs30_b03m_s20_AB06 1752 1752 1752 1752 1752
mcs30_b03m_s20_AB07 20 20 20 20 20
mcs30_b03m_s20_AB08 3112 3112 3112 3112 3112
mcs30_b03m_s20_AB09 1370 1370 1370 1370 1370
mcs30_b03m_s25_AB00 48 48 48 48 48
mcs30_b03m_s25_AB01 12936 12936 12936 12936 12936
mcs30_b03m_s25_AB02 8316 8316 8316 8316 8316
mcs30_b03m_s25_AB03 11222 11222 11222 11222 11222
mcs30_b03m_s25_AB04 411224 411224 411224 411224 411224
mcs30_b03m_s25_AB05 624 624 624 624 624
mcs30_b03m_s25_AB06 352 352 352 352 352
mcs30_b03m_s25_AB07 1790 1790 1790 1790 1790
mcs30_b03m_s25_AB08 10080 10080 10080 -1 -1
mcs30_b03m_s25_AB09 13794 13794 13794 13794 13794
mcs30_b03m_s30_AB00 37104 37104 37104 -1 -1
mcs30_b03m_s30_AB01 340944 340944 340944 -1 -1
mcs30_b03m_s30_AB02 849024 849024 849024 849024 -1
mcs30_b03m_s30_AB03 8922 8922 8922 8922 -1
mcs30_b03m_s30_AB04 320 320 320 320 320
mcs30_b03m_s30_AB05 5064 5064 5064 -1 -1
mcs30_b03m_s30_AB06 76656 76656 76656 -1 -1
mcs30_b03m_s30_AB07 13280 13280 13280 -1 -1
mcs30_b03m_s30_AB08 638736 638736 -1 -1 -1
mcs30_b03m_s30_AB09 2668 2668 2668 2668 -1
mcs30_b03m_s35_AB00 56924 56924 56924 -1 -1
mcs30_b03m_s35_AB01 888 888 -1 -1 -1
mcs30_b03m_s35_AB02 1692 1692 1692 -1 -1
mcs30_b03m_s35_AB03 20852 20852 -1 -1 -1
mcs30_b03m_s35_AB04 83324 83324 83324 -1 -1
mcs30_b03m_s35_AB05 4412 4412 -1 -1 -1
mcs30_b03m_s35_AB06 30720 30720 -1 -1 -1
mcs30_b03m_s35_AB07 296560 296560 -1 -1 -1
mcs30_b03m_s35_AB08 3861648 3861648 -1 -1 -1
mcs30_b03m_s35_AB09 1598848 1598848 -1 -1 -1
mcs30_b03m_s40_AB00 16128 16128 -1 -1 -1
mcs30_b03m_s40_AB01 4466 4466 -1 -1 -1
mcs30_b03m_s40_AB02 2130144 2130144 -1 -1 -1
mcs30_b03m_s40_AB03 4992 4992 -1 -1 -1
mcs30_b03m_s40_AB04 8560 8560 -1 -1 -1
mcs30_b03m_s40_AB05 8408 8408 -1 -1 -1
mcs30_b03m_s40_AB06 83454 83454 -1 -1 -1
mcs30_b03m_s40_AB07 42144 42144 -1 -1 -1
mcs30_b03m_s40_AB08 332672 332672 -1 -1 -1
mcs30_b03m_s40_AB09 321664 321664 -1 -1 -1
mcs30_b03m_s50_AB00 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB01 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB02 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB03 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB04 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB05 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB06 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB07 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB08 -1 -1 -1 -1 -1
mcs30_b03m_s50_AB09 -1 -1 -1 -1 -1
mcs30_b06_s25_AB00 17 17 17 17 17
mcs30_b06_s25_AB01 34 34 34 34 34
mcs30_b06_s25_AB02 14 14 14 14 14
mcs30_b06_s25_AB03 52 52 52 52 52
mcs30_b06_s25_AB04 9 9 9 9 9
mcs30_b06_s25_AB05 148 148 148 148 148
mcs30_b06_s25_AB06 13 13 13 13 13
mcs30_b06_s25_AB07 212 212 212 212 212
mcs30_b06_s25_AB08 3816 3816 3816 3816 3816
mcs30_b06_s25_AB09 144 144 144 144 144
mcs30_b06_s30_AB00 2686 2686 2686 2686 2686
mcs30_b06_s30_AB01 6 6 6 6 6
mcs30_b06_s30_AB02 6 6 6 6 6
mcs30_b06_s30_AB03 11 11 11 11 11
mcs30_b06_s30_AB04 2 2 2 2 2
mcs30_b06_s30_AB05 870 870 870 870 870
mcs30_b06_s30_AB06 232 232 232 232 232
mcs30_b06_s30_AB07 10469 10469 10469 -1 10469
mcs30_b06_s30_AB08 1622 1622 1622 1622 1622
mcs30_b06_s30_AB09 210 210 210 210 210
mcs30_b06_s35_AB00 1138 1138 -1 -1 -1
mcs30_b06_s35_AB01 664 664 -1 -1 -1
mcs30_b06_s35_AB02 4 4 -1 -1 -1
mcs30_b06_s35_AB03 164 164 -1 -1 -1
mcs30_b06_s35_AB04 1 1 -1 -1 -1
mcs30_b06_s35_AB05 1 1 -1 -1 -1
mcs30_b06_s35_AB06 262 262 -1 -1 -1
mcs30_b06_s35_AB07 18 18 -1 -1 -1
mcs30_b06_s35_AB08 14 14 -1 -1 -1
mcs30_b06_s35_AB09 1856 1856 -1 -1 -1
mcs30_b06_s40_AB00 4112 4112 -1 -1 -1
mcs30_b06_s40_AB01 -1 -1 -1 -1 -1
mcs30_b06_s40_AB02 32 32 -1 -1 -1
mcs30_b06_s40_AB03 -1 -1 -1 -1 -1
mcs30_b06_s40_AB04 -1 -1 -1 -1 -1
mcs30_b06_s40_AB05 -1 -1 -1 -1 -1
mcs30_b06_s40_AB06 -1 -1 -1 -1 -1
mcs30_b06_s40_AB07 -1 -1 -1 -1 -1
mcs30_b06_s40_AB08 269 269 -1 -1 -1
mcs30_b06_s40_AB09 60 -1 -1 -1 -1
mcs30_b06_s50_AB00 -1 -1 -1 -1 -1
mcs30_b06_s50_AB01 -1 -1 -1 -1 -1
mcs30_b06_s50_AB02 -1 -1 -1 -1 -1
mcs30_b06_s50_AB03 -1 -1 -1 -1 -1
mcs30_b06_s50_AB04 -1 -1 -1 -1 -1
mcs30_b06_s50_AB05 -1 -1 -1 -1 -1
mcs30_b06_s50_AB06 -1 -1 -1 -1 -1
mcs30_b06_s50_AB07 -1 -1 -1 -1 -1
