instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
si6_r01_m400.06 18 17014 2830 3491
si6_r01_m400.05 4 50531 533 4073
si6_r01_m400.02 2 38903 474 529
si6_r01_m400.00 11 61719 1652 1454
si6_r01_m400.03 56 5437 8755 8383
si6_r01_m400.01 57 16572 6570 4505
si6_r01_m400.09 128 31122 17294 14835
si2_m4Dr4_m625.07 5 341 125 109
si2_m4Dr4_m625.02 0 64 77 78
si2_m4Dr4_m625.03 0 64 74 75
si2_m4Dr4_m625.00 0 63 75 76
si2_m4Dr4_m625.05 0 29 76 134
si2_m4Dr4_m625.06 2 193 125 147
si2_m4Dr4_m625.09 397 17288 453 241
si2_m4Dr4_m625.01 0 52 139 81
si2_m4Dr4_m625.08 9 139 173 163
si2_m4Dr4_m625.04 83 10479 106 141
si4_r01_m400.01 59 16251 4401 4785
si4_r01_m400.08 2 68900 298 333
si4_r01_m400.02 55 196768 3457 2173
si4_r01_m400.03 144 69537 8453 3461
si4_r01_m400.07 38 161667 2526 251
si4_r01_m400.06 8 18955 528 449
si4_r01_m400.04 903 179090 73206 94465
si4_r01_m400.00 564 206473 47370 46223
si4_r01_m400.05 69 19787 8210 6467
si4_r01_m400.09 688 41545 44487 48441
si2_b09m_m400.09 0 24 34 69
si2_b09m_m400.03 0 23 35 70
si2_b09m_m400.01 0 12 68 34
si2_b09m_m400.08 0 26 34 65
si2_b09m_m400.05 0 26 35 65
si2_b09m_m400.06 0 25 34 69
si2_b09m_m400.00 0 25 34 35
si2_b09m_m400.02 0 24 35 64
si2_b09m_m400.04 0 24 34 69
si2_b09m_m400.07 0 24 35 35
si2_b09_m800.07 0 48 130 132
si2_b09_m800.04 0 23 189 192
si2_b09_m800.05 0 48 129 131
si2_b09_m800.00 0 48 167 182
si2_b09_m800.02 0 48 128 131
si2_b09_m800.01 0 22 158 194
si2_b09_m800.08 0 23 181 130
si2_b09_m800.09 0 48 129 130
si2_b09_m800.03 0 48 132 131
si2_b09_m800.06 0 48 128 130
si6_b03_m400.04 0 32 56 58
si6_b03_m400.09 0 33 55 58
si6_b03_m400.02 0 32 56 59
si6_b03_m400.06 0 33 55 106
si6_b03_m400.05 0 36 56 58
si6_b03_m400.08 0 14 118 107
si6_b03_m400.01 0 33 98 111
si6_b03_m400.07 0 33 55 58
si6_b03_m400.03 0 33 55 58
si6_b03_m400.00 0 33 55 58
si2_r005_m600.03 314 15268 11687 5409
si2_r005_m600.00 3797 92519 145201 166823
si2_r005_m600.06 1262 58282 44758 34555
si2_r005_m600.01 3013 53177 116490 112019
si2_r005_m600.04 346 106614 12948 7934
si2_r005_m600.09 248 24424 12311 11419
si2_r005_m600.05 791 50597 85513 104299
si2_r005_m600.02 1330 49905 82052 61609
si2_r005_m600.08 2349 388229 20467 17764
si2_r005_m600.07 487 10274 11754 9743
si4_r01_m600.05 138 233989 15441 8418
si4_r01_m600.02 392 303965 24986 25021
si4_r01_m600.03 1332 460144 92296 52151
si4_r01_m600.07 262 561221 23755 37702
si4_r01_m600.08 653 609216 55283 77669
si4_r01_m600.06 1084 324723 116124 124019
si4_r01_m600.01 32 831168 3102 3720
si4_r01_m600.04 7 326381 735 2971
si4_r01_m600.00 3 710123 767 776
si4_r01_m600.09 732 237644 122795 110029
si2_b09_m400.04 0 11 66 32
si2_b09_m400.08 0 5 32 67
si2_b09_m400.05 0 11 32 68
si2_b09_m400.01 0 11 67 32
si2_b09_m400.03 0 11 66 66
si2_b09_m400.02 0 11 64 67
si2_b09_m400.07 0 11 67 66
si2_b09_m400.09 0 11 66 67
si2_b09_m400.06 0 5 66 32
si2_b09_m400.00 0 11 67 67
si4_b06_m200.06 0 5 23 23
si4_b06_m200.03 0 5 23 23
si4_b06_m200.02 0 5 23 11
si4_b06_m200.07 0 5 11 11
si4_b06_m200.05 0 5 23 23
si4_b06_m200.08 0 5 23 23
si4_b06_m200.00 0 5 23 23
si4_b06_m200.04 0 5 23 23
si4_b06_m200.01 0 2 23 23
si4_b06_m200.09 0 5 21 23
si4_r005_m400.06 3 5641 591 456
si4_r005_m400.03 69 5210 1755 1286
si4_r005_m400.07 38 8880 1682 2588
si4_r005_m400.01 6 4046 436 373
si4_r005_m400.04 45 4898 2267 1909
si4_r005_m400.00 12 8410 1175 946
si4_r005_m400.09 5 2068 437 275
si4_r005_m400.05 10 3693 842 311
si4_r005_m400.08 1 1646 243 231
si4_r005_m400.02 115 3026 6727 5600
si4_m4Dr2_m1296.07 1 376 972 564
si4_m4Dr2_m1296.00 1 574 541 505
si4_m4Dr2_m1296.05 1 434 689 1052
si4_m4Dr2_m1296.04 1 343 508 552
si4_m4Dr2_m1296.08 4 1038 583 1096
si4_m4Dr2_m1296.01 2 588 487 502
si4_m4Dr2_m1296.06 1 383 575 636
si4_m4Dr2_m1296.02 1 561 1000 533
si4_m4Dr2_m1296.03 1 820 520 532
si4_m4Dr2_m1296.09 1 298 810 547
si6_b09_m800.03 1 139 262 268
si6_b09_m800.09 1 63 262 482
si6_b09_m800.07 1 139 341 276
si6_b09_m800.05 1 64 262 468
si6_b09_m800.04 1 63 551 397
si6_b09_m800.01 1 68 554 272
si6_b09_m800.00 1 94 553 530
si6_b09_m800.02 1 74 287 270
si6_b09_m800.06 1 113 553 374
si6_b09_m800.08 0 64 552 565
si6_b06m_m400.00 0 34 52 105
si6_b06m_m400.08 0 68 51 103
si6_b06m_m400.03 0 52 101 102
si6_b06m_m400.04 0 57 63 53
si6_b06m_m400.06 0 70 62 103
si6_b06m_m400.07 0 37 99 51
si6_b06m_m400.09 0 71 102 104
si6_b06m_m400.02 0 66 98 101
si6_b06m_m400.01 0 68 49 80
si6_b06m_m400.05 0 34 102 104
si2_m4Dr4_m1296.08 3 2683 753 758
si2_m4Dr4_m1296.07 0 351 413 755
si2_m4Dr4_m1296.03 2 1178 385 781
si2_m4Dr4_m1296.05 0 281 734 597
si2_m4Dr4_m1296.06 0 145 715 457
si2_m4Dr4_m1296.04 155 149 360 375
si2_m4Dr4_m1296.09 1 220 376 751
si2_m4Dr4_m1296.01 1 318 413 662
si2_m4Dr4_m1296.00 1 498 732 446
si2_m4Dr4_m1296.02 3 502 773 893
si6_m4Dr6_m1296.02 4 1414 1334 1006
si6_m4Dr6_m1296.08 3 879 1016 759
si6_m4Dr6_m1296.07 3 449 751 784
si6_m4Dr6_m1296.06 3 425 1200 1392
si6_m4Dr6_m1296.03 3 839 1458 1410
si6_m4Dr6_m1296.04 2 808 1400 1098
si6_m4Dr6_m1296.05 3 1006 1444 998
si6_m4Dr6_m1296.00 3 806 878 702
si6_m4Dr6_m1296.09 3 847 919 1026
si6_m4Dr6_m1296.01 3 834 1404 993
si4_m4Dr2_m256.00 0 18 34 34
si4_m4Dr2_m256.01 0 18 32 33
si4_m4Dr2_m256.05 0 27 32 32
si4_m4Dr2_m256.04 0 40 32 27
si4_m4Dr2_m256.08 0 23 33 33
si4_m4Dr2_m256.07 0 21 33 34
si4_m4Dr2_m256.06 0 19 32 33
si4_m4Dr2_m256.02 0 21 32 32
si4_m4Dr2_m256.09 0 19 32 32
si4_m4Dr2_m256.03 0 26 32 33
si4_b09m_m200.01 0 11 25 25
si4_b09m_m200.00 0 12 25 25
si4_b09m_m200.03 0 11 25 25
si4_b09m_m200.06 0 11 25 25
si4_b09m_m200.02 0 11 25 25
si4_b09m_m200.04 0 13 24 24
si4_b09m_m200.05 0 12 24 25
si4_b09m_m200.07 0 11 12 25
si4_b09m_m200.08 0 12 24 25
si4_b09m_m200.09 0 11 25 25
si4_m4Dr4_m625.07 0 116 107 113
si4_m4Dr4_m625.05 0 63 217 217
si4_m4Dr4_m625.01 0 178 103 107
si4_m4Dr4_m625.08 0 191 110 111
si4_m4Dr4_m625.09 1 124 218 109
si4_m4Dr4_m625.00 1 112 225 226
si4_m4Dr4_m625.04 0 125 219 221
si4_m4Dr4_m625.06 0 129 220 225
si4_m4Dr4_m625.03 0 187 220 225
si4_m4Dr4_m625.02 0 119 121 220
