instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
all-meshes-CVIU11-pattern4-target92 X X X X
all-meshes-CVIU11-pattern5-target102 X X X X
all-meshes-CVIU11-pattern5-target112 X X X X
all-meshes-CVIU11-pattern5-target121 X X X X
all-meshes-CVIU11-pattern5-target130 X X X X
all-meshes-CVIU11-pattern5-target14 X X X X
all-meshes-CVIU11-pattern5-target15 X X X X
all-meshes-CVIU11-pattern5-target159 X X X X
all-meshes-CVIU11-pattern5-target168 X X X X
all-meshes-CVIU11-pattern5-target177 X X X X
all-meshes-CVIU11-pattern5-target187 X X X X
all-meshes-CVIU11-pattern5-target196 X X X X
all-meshes-CVIU11-pattern5-target204 X X X X
all-meshes-CVIU11-pattern5-target213 X X X X
all-meshes-CVIU11-pattern5-target222 X X X X
all-meshes-CVIU11-pattern5-target231 X X X X
all-meshes-CVIU11-pattern5-target242 X X X X
all-meshes-CVIU11-pattern5-target251 X X X X
all-meshes-CVIU11-pattern5-target261 X X X X
all-meshes-CVIU11-pattern5-target270 X X X X
all-meshes-CVIU11-pattern5-target282 X X X X
all-meshes-CVIU11-pattern5-target291 X X X X
all-meshes-CVIU11-pattern5-target30 X X X X
all-meshes-CVIU11-pattern5-target310 X X X X
all-meshes-CVIU11-pattern5-target32 X X X X
all-meshes-CVIU11-pattern5-target329 X X X X
all-meshes-CVIU11-pattern5-target338 X X X X
all-meshes-CVIU11-pattern5-target347 X X X X
all-meshes-CVIU11-pattern5-target357 X X X X
all-meshes-CVIU11-pattern5-target366 X X X X
all-meshes-CVIU11-pattern5-target381 X X X X
all-meshes-CVIU11-pattern5-target390 X X X X
all-meshes-CVIU11-pattern5-target4 X X X X
all-meshes-CVIU11-pattern5-target408 X X X X
all-meshes-CVIU11-pattern5-target417 X X X X
all-meshes-CVIU11-pattern5-target427 X X X X
all-meshes-CVIU11-pattern5-target436 X X X X
all-meshes-CVIU11-pattern5-target446 X X X X
all-meshes-CVIU11-pattern5-target455 X X X X
all-meshes-CVIU11-pattern5-target464 X X X X
all-meshes-CVIU11-pattern5-target473 X X X X
all-meshes-CVIU11-pattern5-target483 X X X X
all-meshes-CVIU11-pattern5-target492 X X X X
all-meshes-CVIU11-pattern5-target500 X X X X
all-meshes-CVIU11-pattern5-target51 X X X X
all-meshes-CVIU11-pattern5-target52 X X X X
all-meshes-CVIU11-pattern5-target529 X X X X
