instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-686 41 0.996341 21 0.114286 28497 789 789 789 26707 786 61120 6036 6036 6036 17030 2636 2636 2636
r-217 28 0.0925926 38 0.506401 6795327 828338 828338 6795327 2420391 2301002 10570468 1374439 1374439 10570468 6097816 1351618 1351618 6097816
r-826 16 0.308333 33 0.386364 234834 1430347 1430347 234834 1352934 231766 289681 2158086 2158086 289681 284408 1018222 1018222 284408
r-863 50 0.556735 34 0.483066 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-78 46 0.125604 11 0.8 5128 8535 8535 8535 8344 7467 7651 12456 12456 12456 12465 3409 3409 3409
r-624 37 0.372372 28 0.521164 103849126 78547228 78547228 78547228 114153431 72347410 190373164 146518796 146518796 146518796 114671117 105898716 105898716 105898716
r-656 14 0.032967 13 0.641026 1553 502 502 502 1770 450 2737 930 930 930 2116 803 803 803
r-965 47 0.372803 30 0.158621 219199814 -1 219199814 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-518 29 0.137931 18 0.267974 177163 2579 2579 2579 179850 3474 211479 3123 3123 3123 183344 6422 6422 6422
r-330 14 0.285714 21 0.328571 3073 19094 19094 3073 18240 2833 3477 27202 27202 3477 3464 16692 16692 3464
r-924 36 0.409524 18 0.248366 2588035 765975 2588035 765975 2905196 718354 3937958 1029903 3937958 1029903 2965420 1008960 2965420 1008960
r-708 39 0.184885 47 0.292322 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-319 49 0.987245 20 0.3 243969 4694 4694 4694 247553 2794 359399 10007 10007 10007 261508 159873 159873 159873
r-751 22 0.748918 37 0.495495 7326550 10503426 10503426 7326550 13709495 6766799 11000063 17427752 17427752 11000063 11019964 12781701 12781701 11019964
r-795 32 0.417339 23 0.426877 17850951 8563901 8563901 8563901 18495652 8341552 34245931 14641208 14641208 14641208 15724426 9526392 9526392 9526392
r-654 31 0.733333 21 0.728571 1839143 340349 340349 340349 1910360 349910 2916473 453838 453838 453838 1794162 479197 479197 479197
r-961 31 0.716129 24 0 135625 2122719 135625 2122719 2432064 358483 187317 3071142 187317 3071142 972292 2122719 972292 2122719
r-937 48 0.35461 41 0.315854 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-854 21 0.280952 22 0.419913 117928 142798 142798 117928 252655 91862 196291 208657 208657 196291 87442 109914 109914 87442
r-921 40 0.0230769 43 0.594684 36127377 758121 758121 36127377 21275934 2713464 53494170 1358380 1358380 53494170 36854744 2034285 2034285 36854744
r-704 28 0 43 0.874862 173857 33303 33303 173857 147610 65420 372139 62108 62108 372139 173857 80399 80399 173857
r-116 32 0.913306 32 0.766129 -1 5694377 5694377 -1 162579161 7365155 -1 7518916 7518916 -1 -1 13644658 13644658 -1
r-886 32 0.893145 41 0.22561 672514 517789 517789 672514 770060 497958 1172745 859860 859860 1172745 1011350 1038427 1038427 1011350
r-899 32 0.0201613 36 0.55873 23821926 1185941 1185941 23821926 21661416 2474213 33981029 1504101 1504101 33981029 22851775 1085759 1085759 22851775
r-194 18 0.745098 48 0.453014 2906093 7177665 7177665 2906093 7964427 2860775 4001625 11556072 11556072 4001625 4522910 9335255 9335255 4522910
r-944 44 0.439746 11 0.872727 178083 12316 178083 12316 221911 12454 249062 12318 249062 12318 210151 18759 210151 18759
r-571 29 0.736453 20 0.889474 210201 56825 210201 56825 354606 54467 281855 68389 281855 68389 460234 54206 460234 54206
r-4 25 0.146667 34 0.229947 4169257 22081815 22081815 4169257 33085623 3932234 5534534 31396801 31396801 5534534 7226929 19027106 19027106 7226929
r-905 14 0.164835 39 0.310391 1 217155 217155 1 195053 1 2 217155 217155 2 1 236457 236457 1
r-484 49 0.807823 33 0.590909 -1 103107249 103107249 103107249 -1 145484904 -1 170472410 170472410 170472410 -1 -1 -1 -1
r-382 22 0.822511 45 0.956566 12822 8569018 12822 12822 8301762 21841 15865 9320547 15865 15865 35312 39763038 35312 35312
r-580 47 0.79556 20 0.636842 6710781 482503 482503 482503 6864389 507575 10265986 612770 612770 612770 6461027 309720 309720 309720
r-372 50 0.417143 41 0.460976 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-442 21 0.271429 28 0.941799 12121 57149 12121 12121 58440 6303 18164 63826 18164 18164 11312 42050 11312 11312
r-51 45 0.780808 46 0.87343 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-59 19 0.894737 29 0.214286 18505 27641 27641 18505 42748 14024 35504 41036 41036 35504 19826 24506 24506 19826
r-995 18 0.235294 21 0.047619 1876 490151 1876 1876 354885 1763 2340 526017 2340 2340 4277 467258 4277 4277
r-219 20 0.4 32 0.530242 2161555 3255125 3255125 2161555 3760374 2007184 3384459 5475031 5475031 3384459 2216075 3224612 3224612 2216075
r-173 13 0.0641026 33 0.831439 6206 2957 2957 6206 5986 4469 12076 5928 5928 12076 11681 6509 6509 11681
r-66 37 0.264264 16 0.266667 380429 3713 3713 3713 390027 4048 470694 3715 3715 3715 259780 14237 14237 14237
r-331 23 0.786561 15 0.409524 7069 12612 12612 12612 8224 10750 10418 17496 17496 17496 16339 6611 6611 6611
r-980 17 0.0882353 31 0.0795699 1 97645811 1 1 74040569 1 2 97645811 2 2 1 68540164 1 1
r-392 42 0.813008 49 0.0790816 894108 902116 894108 894108 998113 447298 1629950 1772979 1629950 1629950 873470 1071280 873470 873470
r-389 30 0.496552 34 0.174688 6383075 15266319 6383075 6383075 11694120 9258687 10590899 28147438 10590899 10590899 8932118 13293597 8932118 8932118
r-845 24 0.00362319 38 0.268848 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-785 40 0.0923077 33 0.498106 3107864 1678419 1678419 1678419 2773799 2281384 5574737 2714620 2714620 2714620 7428914 2050692 2050692 2050692
r-718 32 0.794355 37 0.0795796 108546 179761 108546 108546 234196 46896 157838 310124 157838 157838 110182 163232 110182 110182
r-583 29 0.652709 47 0.309898 35626984 69232962 35626984 35626984 81360720 31907128 61220654 120375786 61220654 61220654 70808358 64818568 70808358 70808358
r-896 33 0.719697 33 0.683712 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-490 41 0.947561 19 0.128655 11827 6325 6325 6325 12825 3965 20581 11683 11683 11683 14813 7072 7072 7072
r-438 39 0.551957 18 0.222222 1099472 1214288 1099472 1214288 1439760 1071540 1716617 1734421 1716617 1734421 1864945 1129441 1864945 1129441
r-232 41 0.607317 48 0.99734 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
