instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-955 34 0.782531 24 0.148551 143863 143997 143863 143997 223428 101865 223849 230678 223849 230678 246749 312950 246749 312950
r-263 40 0.842308 32 0.790323 -1 129859820 129859820 129859820 -1 180570324 -1 178568958 178568958 178568958 -1 -1 -1 -1
r-550 32 0.719758 18 0.20915 58874 45752 58874 45752 72426 53080 81994 72444 81994 72444 141139 131555 141139 131555
r-714 25 0.516667 14 0.516484 165757 96255 96255 96255 171573 89036 247033 128764 128764 128764 177106 102809 102809 102809
r-261 28 0.00529101 16 0.616667 49913 5203 5203 5203 50758 5031 85681 7243 7243 7243 57639 14250 14250 14250
r-485 36 0.0031746 40 0.273077 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-741 14 0.428571 27 0.783476 22173 21866 22173 22173 28679 17938 29934 27300 29934 29934 21183 31484 21183 21183
r-574 23 0.865613 34 0.627451 11890333 5177214 5177214 11890333 11066750 9238843 19305466 8076171 8076171 19305466 11900836 16806327 16806327 11900836
r-307 24 0.706522 16 0.508333 137107 45262 45262 45262 138279 49116 241700 62306 62306 62306 88581 50360 50360 50360
r-461 34 0.850267 26 0.772308 34307665 4013837 4013837 4013837 34867789 5159677 48827394 5403207 5403207 5403207 37864194 8759320 8759320 8759320
r-165 14 0.043956 35 0.388235 8880999 777929 777929 8880999 5250164 5420782 10028235 1042793 1042793 10028235 9884974 3158572 3158572 9884974
r-369 11 0.945455 11 0.927273 55 54 54 55 55 54 71 70 70 71 3654 214 214 3654
r-399 32 0.296371 24 0.550725 4699211 3463525 3463525 3463525 5343716 3000059 7480436 5687731 5687731 5687731 7699419 5635593 5635593 5635593
r-293 20 0.178947 25 0.07 18659 2566976 18659 18659 2054571 19015 19615 2860503 19615 19615 1404032 5967380 1404032 1404032
