instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r3-3-20-18 20 0.331579 18 0.326797 37 35 34 39 33 60 53 52 29 25 25
r1-3-11-17 11 0.327273 17 0.279412 0 1 0 1 0 0 1 0 0 1 0
r1-1-22-40 22 0.298701 40 0.301282 3038 7576 3028 6979 3000 3965 11726 4025 4367 5331 4290
r3-2-16-12 16 0.3 12 0.378788 1 0 0 1 0 2 0 0 1 0 0
r3-1-13-24 13 0.358974 24 0.293478 1 7 1 6 1 1 9 1 2 5 2
r3-1-35-18 35 0.307563 18 0.24183 1073 331 336 1138 346 1593 441 407 1074 417 433
r3-3-14-20 14 0.252747 20 0.331579 4 6 4 6 3 5 9 5 4 7 4
r2-3-17-24 17 0.227941 24 0.300725 16 25 16 27 16 21 41 22 48 41 48
r2-2-11-36 11 0.254545 36 0.366667 0 0 0 0 0 0 0 0 0 0 0
r2-3-10-23 10 0.377778 23 0.351779 0 2 0 2 0 0 2 0 0 2 0
r2-1-18-23 18 0.326797 23 0.304348 39 96 41 80 40 59 158 61 117 95 117
r1-1-13-29 13 0.410256 29 0.300493 4 16 4 15 4 5 22 5 6 10 6
r1-2-39-12 39 0.325236 12 0.378788 3 2 2 4 2 3 2 2 3 3 3
r3-1-20-13 20 0.331579 13 0.410256 6 1 1 6 1 10 2 2 4 4 3
r1-2-11-11 11 0.327273 11 0.254545 0 0 0 0 0 0 0 0 0 0 0
r1-1-17-29 17 0.272059 29 0.300493 57 148 62 144 57 54 198 54 93 143 91
r2-3-34-10 34 0.304813 10 0.422222 1 0 0 1 0 1 0 0 0 0 0
r3-2-18-20 18 0.326797 20 0.331579 35 26 35 26 35 53 42 55 22 24 23
r2-1-17-40 17 0.227941 40 0.301282 209 919 208 892 209 234 1212 238 856 1209 855
r1-2-20-24 20 0.3 24 0.32971 86 107 84 103 75 138 173 138 126 173 127
r3-1-24-28 24 0.300725 28 0.280423 1791 2671 1814 2552 1857 2833 4578 2710 1724 1749 1708
r1-3-21-30 21 0.290476 30 0.303448 574 1390 575 1219 598 889 2354 909 709 1442 711
r2-2-37-27 37 0.303303 27 0.296296 34452 22876 22788 35049 21833 65183 38049 38000 38167 24885 25087
r1-2-37-30 37 0.285285 30 0.252874 100002 100006 100000 100006 100005 100004 100007 100001 100004 100004 100006
r2-1-14-23 14 0.21978 23 0.304348 2 4 2 4 2 2 6 2 3 5 3
r2-3-33-22 33 0.291667 22 0.320346 1956 969 947 1935 962 3310 1444 1451 2584 1271 1261
r1-2-15-29 15 0.257143 29 0.325123 28 91 28 92 28 35 126 35 83 99 84
r1-2-36-33 36 0.298413 33 0.291667 100000 100003 100003 100008 100005 100009 100003 100008 100008 100003 100005
r1-2-23-33 23 0.304348 33 0.291667 964 2746 963 2536 982 1476 4667 1468 1462 3335 1446
r1-3-13-17 13 0.410256 17 0.279412 0 3 0 3 1 1 5 1 1 3 1
r3-2-38-14 38 0.266003 14 0.21978 11 1 1 11 2 11 1 1 6 5 5
r1-2-40-31 40 0.301282 31 0.296774 100006 100002 100005 100000 100009 100009 100000 100006 100006 100005 100004
r1-2-21-10 21 0.290476 10 0.377778 1 0 0 1 0 1 0 0 1 0 0
r1-2-37-37 37 0.285285 37 0.303303 100006 100007 100000 100008 100009 100007 100004 100001 100004 100002 100001
r1-3-26-38 26 0.295385 38 0.266003 16869 54487 16930 47957 18247 27220 97496 26943 31571 38163 31518
r2-1-39-24 39 0.327935 24 0.293478 34407 18369 18442 35051 18667 60984 30028 29991 34655 24069 23970
r1-3-26-14 26 0.295385 14 0.252747 22 4 4 22 4 29 4 4 18 6 5
r3-1-18-10 18 0.326797 10 0.311111 1 0 0 1 0 1 0 0 0 0 0
r3-2-40-12 40 0.291026 12 0.378788 30 2 2 30 2 32 2 2 23 4 4
r2-2-11-22 11 0.254545 22 0.290043 0 2 0 2 0 0 2 0 0 1 0
r3-3-24-22 24 0.300725 22 0.320346 356 249 249 368 223 573 377 385 389 391 393
r1-3-38-13 38 0.29303 13 0.358974 28 2 3 28 3 29 3 3 20 4 3
