instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-592 27 0.293447 32 0.3125 14839311 13558238 14839311 14895468 13098839 25071094 23551510 25071094 23126615 26679623 23126615
r-720 33 0.291667 37 0.3003 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-866 35 0.302521 35 0.32437 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-756 25 0.306667 34 0.30303 5476130 7202635 5476130 7560560 5779743 8986553 12494242 8986553 15589833 18854159 15589833
r-26 28 0.280423 25 0.29 4418386 3676093 3676093 4971898 3574270 7522512 5942437 5942437 3183927 2910021 2910021
r-27 13 0.294872 12 0.30303 858 802 802 938 720 1064 1052 1052 923 869 869
r-442 11 0.327273 25 0.323333 2569 6685 2569 5831 2526 2430 7180 2430 3128 2905 3128
r-638 13 0.25641 19 0.269006 1212 3501 1212 3069 1325 1407 4448 1407 2856 4192 2856
r-314 38 0.322902 23 0.324111 8734389 5029704 5029704 9234033 5080571 15102082 7851047 7851047 8418275 10746707 10746707
r-277 16 0.35 10 0.422222 514 360 360 516 356 539 414 414 768 986 986
r-429 13 0.25641 31 0.290323 5769 16085 5769 14284 5874 5750 16209 5750 9116 16475 9116
r-424 39 0.306343 20 0.252632 3223907 3413137 3413137 3391491 3313432 4918946 4717193 4717193 3243710 4701912 4701912
r-388 22 0.298701 17 0.279412 57497 20017 20017 62094 18930 58226 15282 15282 53467 28563 28563
r-195 22 0.25974 22 0.324675 277871 181458 277871 290896 208310 454008 272109 454008 324983 382416 324983
r-107 20 0.310526 14 0.21978 4655 13320 13320 4978 12682 6592 16432 16432 12301 14161 14161
r-432 31 0.275269 23 0.367589 2619463 1263833 1263833 2659585 1458718 4650158 1959302 1959302 3071707 4031808 4031808
r-605 39 0.304993 24 0.268116 24265731 13840359 13840359 26237533 13915352 39610820 21141419 21141419 31372628 20086371 20086371
r-771 13 0.307692 11 0.290909 573 388 388 594 518 616 507 507 585 398 398
r-251 14 0.274725 14 0.230769 697 1034 697 889 668 917 1353 917 1461 1700 1461
r-88 27 0.273504 33 0.295455 15984335 7478641 15984335 7898795 15162493 25111171 11612424 25111171 24551762 27385655 24551762
r-348 29 0.29064 35 0.265546 24313094 48520760 24313094 50859719 24492383 36990471 -1 36990471 50208719 55130313 50208719
r-135 19 0.204678 17 0.308824 12794 2169 2169 14640 1230 18536 1761 1761 9796 7628 7628
r-284 20 0.257895 22 0.311688 214006 88050 214006 105164 198559 324340 126703 324340 138029 171427 138029
r-38 11 0.181818 32 0.318548 284 389 284 574 282 254 389 254 189 308 189
r-10 24 0.264493 21 0.304762 354526 130263 130263 393679 133751 571470 182336 182336 329563 450964 450964
r-665 29 0.283251 34 0.304813 23646316 23783173 23646316 27709974 20731713 42012269 43564788 42012269 33831059 44859394 33831059
