instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-576 24 0.992754 40 0.462821 18065090 16327 16327 18065090 774941 967640 24413704 23110 23110 24413704 20416973 132859 132859 20416973
r-918 35 0.29916 38 0.163585 27590604 -1 27590604 27590604 -1 34043307 43035659 -1 43035659 43035659 -1 -1 -1 -1
r-707 22 0.0692641 26 0.572308 100513 4635 4635 100513 23529 9118 97839 1239 1239 97839 59965 16109 16109 59965
r-80 12 0.787879 33 0.130682 970 956 970 970 904 1115 1736 1089 1736 1736 3756 3052 3756 3756
r-441 32 0.163306 33 0.346591 53764617 5518667 5518667 53764617 9686325 39449334 92139255 7653656 7653656 92139255 20144133 22426943 22426943 20144133
r-366 26 0.267692 17 0.705882 5791 9441 9441 9441 6801 9300 5367 12166 12166 12166 4242 55096 55096 55096
r-530 29 0.211823 13 0.5 11388 4303 4303 4303 11832 4867 16436 5017 5017 5017 8807 11129 11129 11129
r-339 25 0.24 25 0.563333 100912 60219 60219 100912 121965 53690 123315 79839 79839 123315 521986 148382 148382 521986
r-916 27 0.165242 32 0.879032 2612 5625 2612 2612 6701 2261 3495 5261 3495 3495 12728 8878 12728 12728
r-311 31 0.16129 12 0.166667 157 206 206 206 157 206 152 178 178 178 3234 238 238 238
r-256 13 0.641026 12 0.969697 152 53280 152 53280 97 8623 191 63601 191 63601 258 53765 258 53765
r-168 16 0.716667 23 0.134387 2552 1548 2552 2552 1606 1673 2381 1763 2381 2381 2827 1087 2827 2827
r-844 37 0.852853 12 0.878788 68 129 68 129 67 129 74 99 74 99 41 88 41 88
r-154 15 0.647619 12 0.257576 572 414 572 414 565 401 473 526 473 526 1086 2721 1086 2721
r-344 19 0.140351 24 0.155797 12655 28024 28024 12655 26107 14194 7958 25079 25079 7958 46924 143079 143079 46924
r-451 21 0.77619 23 0.339921 10857 4554 4554 10857 7636 9051 10179 4820 4820 10179 57475 24446 24446 57475
r-558 38 0.362731 40 0.773077 2978720 4768297 2978720 2978720 5619274 2228608 2227150 7422136 2227150 2227150 6470444 18305643 6470444 6470444
r-767 34 0.199643 24 0.141304 2807535 2577391 2807535 2577391 3095217 2600368 3447818 2946836 3447818 2946836 23552589 16121711 23552589 16121711
