instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-442 22 0.705628 25 0.616667 1008999 780301 780301 1008999 1075930 954382 1651793 1230602 1230602 1651793 989941 1113263 1113263 989941
r-487 38 0.738265 46 0.902415 335415310 -1 335415310 335415310 -1 422110365 487595767 -1 487595767 487595767 677659728 -1 677659728 677659728
r-788 23 0.304348 21 0.314286 340748 243010 243010 243010 343193 212186 558219 362477 362477 362477 323888 213361 213361 213361
r-587 42 0.566783 42 0.578397 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-139 25 0.143333 14 0.0549451 635 1 635 1 728 1 635 1 635 1 1 1 1 1
r-769 14 0.978022 26 0.430769 133834 17975 17975 133834 149802 91334 193974 28826 28826 193974 175462 36952 36952 175462
r-960 26 0.418462 10 0.2 451 1 451 1 431 1 451 1 451 1 694 1 694 1
r-461 33 0.174242 44 0.961945 71828 335183 71828 71828 172491 69184 101765 421432 101765 101765 115794 228515 115794 115794
r-700 17 0.889706 44 0.494715 550006 838838 838838 550006 2615755 589268 752640 1347630 1347630 752640 1304810 1551872 1551872 1304810
r-285 35 0.0537815 27 0.0940171 -1 188193 188193 188193 -1 203434 -1 194521 194521 194521 -1 2032182 2032182 2032182
r-386 30 0.671264 44 0.35518 79605897 65706267 65706267 79605897 115076064 88579057 142927813 115617670 115617670 142927813 92521021 101045792 101045792 92521021
r-528 41 0.846341 12 0.393939 17243 4620 4620 4620 26066 7179 23361 5872 5872 5872 29343 4842 4842 4842
r-389 13 0.115385 23 0.418972 7346 12256 12256 7346 29824 6937 8111 11600 11600 8111 6812 36744 36744 6812
r-600 28 0.656085 18 0.830065 166077 55256 166077 55256 238301 49132 235229 70412 235229 70412 103354 54593 103354 54593
r-985 33 0.308712 41 0.67439 71065386 63820150 63820150 71065386 97136066 81952135 125475442 114800462 114800462 125475442 91939931 102278450 102278450 91939931
r-645 38 0.250356 46 0.294686 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-778 10 0.577778 27 0.777778 1 2113 1 1 2102 1 2 2114 2 2 1 2578 1 1
r-952 50 0.507755 45 0.821212 1874080684 -1 1874080684 -1 2807442684 1820908311 -1 -1 -1 -1 2619964048 -1 2619964048 -1
r-277 10 0.333333 35 0.847059 943 4524 943 943 4994 859 1169 5941 1169 1169 631 2569 631 631
r-68 37 0.13964 24 0.666667 330359 252832 252832 252832 624148 204806 496194 431725 431725 431725 493549 271797 271797 271797
r-770 47 0.114709 20 0.252632 4054362 175461 175461 175461 3631930 264525 5125418 198984 198984 198984 3968462 110029 110029 110029
r-180 11 0.436364 48 0.509752 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-135 35 0.941176 31 0.303226 647880 88235 88235 88235 662983 94514 1070980 133904 133904 133904 477107 149104 149104 149104
r-293 25 0.83 22 0.575758 333869 138312 138312 138312 254286 217822 537949 189759 189759 189759 331882 127073 127073 127073
r-465 13 0.102564 10 0.0666667 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-34 10 0.644444 17 0.639706 1 1879 1879 1 1893 1 2 2071 2071 2 1 2054 2054 1
r-412 11 0.218182 16 0.633333 2938 2267 2267 2938 4390 3303 3814 3061 3061 3814 5033 3443 3443 5033
r-92 15 0.685714 42 0.379791 84421 433689 433689 84421 872111 84309 102635 624159 624159 102635 166699 530748 530748 166699
r-866 21 0.385714 12 0.181818 15872 5217 15872 5217 23453 5112 21271 5951 21271 5951 32368 9267 32368 9267
r-280 36 0.614286 17 0.580882 1731367 187074 187074 187074 1739897 188312 2753066 235067 235067 235067 1348948 250732 250732 250732
r-662 50 0.367347 47 0.66975 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-257 21 0.457143 44 0.954545 29856 410656 29856 29856 304682 34045 28177 707859 28177 28177 55585 318013 55585 55585
r-98 25 0.223333 23 0.422925 475119 321248 321248 321248 326359 404120 810823 453488 453488 453488 677566 266064 266064 266064
r-633 30 0.947126 49 0.329932 2494749 439507 439507 2494749 2876842 1807486 4479418 821109 821109 4479418 3142757 665009 665009 3142757
r-612 47 0.424607 25 0.743333 31366758 28997324 31366758 28997324 56530608 31213438 54417938 46283707 54417938 46283707 50208063 36992595 50208063 36992595
r-23 10 0.733333 30 0.471264 1 14219 14219 1 17350 1 1 14220 14220 1 1 18398 18398 1
r-730 18 0.261438 26 0.858462 15872 10640 15872 15872 20068 17227 24985 15062 24985 24985 16835 18426 16835 16835
r-752 48 0.211879 15 0.790476 74438 37457 74438 37457 133513 53045 111328 59251 111328 59251 138096 67514 138096 67514
r-511 12 0.378788 33 0.0719697 278 7508 278 278 7331 364 328 9989 328 328 1774 7551 1774 1774
r-838 42 0.47619 31 0.0774194 3957850 10605790 3957850 10605790 10383850 3625314 7030421 18691634 7030421 18691634 7910075 18169354 7910075 18169354
r-204 35 0.660504 48 0.336879 488216859 538544213 488216859 488216859 486888096 577796799 903153281 1018620647 903153281 903153281 332659390 429932744 332659390 332659390
r-705 36 0.0730159 15 0.885714 2609 2138 2138 2138 4319 2058 6394 5819 5819 5819 3198 2257 2257 2257
r-123 43 0.0487265 46 0.23285 -1 106599556 106599556 -1 -1 -1 -1 161461170 161461170 -1 -1 -1 -1 -1
r-760 24 0.503623 21 0.72381 542559 849708 542559 849708 1031827 531533 886786 1553550 886786 1553550 583272 592221 583272 592221
r-288 16 0.833333 41 0.0560976 6494 8240 6494 6494 12974 6696 9859 14099 9859 9859 7601 8123 7601 7601
r-14 27 0.737892 32 0.625 46536940 31277409 31277409 46536940 44156370 42983752 80643171 52941597 52941597 80643171 40416612 30301184 30301184 40416612
