instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-332 41 0.615854 33 0.0549242 67279 732397 67279 732397 146093 598601 5243 1096287 5243 1096287 608197 803213 608197 803213
r-6 33 0.941288 27 0.102564 1936 843 843 843 2154 11059 1008 1905 1905 1905 2147 991 991 991
r-846 20 0.473684 43 0.0675526 15369 329443 15369 15369 289348 26142 11149 453962 11149 11149 108941 105006 108941 108941
r-377 20 0.847368 48 0.471631 1112039 55739 55739 1112039 6347596 1136886 1744374 51818 51818 1744374 4109316 2273792 2273792 4109316
r-536 19 0.0818713 42 0.235772 809288 415128 415128 809288 446432 802551 841691 466021 466021 841691 2759874 30207675 30207675 2759874
r-285 35 0.0537815 27 0.0940171 -1 6742627 6742627 6742627 -1 87831387 -1 6110775 6110775 6110775 -1 127416749 127416749 127416749
r-347 42 0.0418118 11 0.327273 1477 391 391 391 1270 479 1589 334 334 334 4114 1661 1661 1661
r-63 44 0.395349 12 0.378788 71221 40406 71221 40406 70017 40187 70748 40450 70748 40450 63148 49619 63148 49619
r-316 35 0.12437 29 0.512315 938687 89630 89630 89630 1358660 2336804 1212608 87397 87397 87397 533168 204628 204628 204628
r-376 12 0.636364 42 0.771196 1518 8085 1518 1518 7834 1518 1587 8138 1587 1587 5274 1921 5274 5274
r-53 29 0.295567 17 0.845588 2456 3578 2456 3578 3720 21519 3049 6375 3049 6375 18431 13722 18431 13722
r-982 38 0.0981508 31 0.944086 879 2075 879 2075 989 20837 1683 4135 1683 4135 1433 3903 1433 3903
r-684 35 0.678992 15 0.00952381 517 104205 517 104205 1828 45590 460 168296 460 168296 3949 112449 3949 112449
r-934 35 0.30084 39 0.842105 319925 217617 319925 319925 1402274 373442 583422 325933 583422 583422 764454 253241 764454 764454
r-836 14 1 29 0.610837 90125533 18395 18395 90125533 831802 24288151 108014959 35583 35583 108014959 89520874 519059 519059 89520874
r-976 50 0.197551 16 0.991667 327 21222 327 21222 997 10968 552 46306 552 46306 17675 39711 17675 39711
r-40 47 0.775208 18 0.30719 36839 37795 37795 37795 45995 775038 44888 55971 55971 55971 147502 74881 74881 74881
r-633 30 0.947126 49 0.329932 278630 9027 9027 278630 1163696 136899 504660 11442 11442 504660 561776 114088 114088 561776
r-13 28 0.015873 27 0.80057 9261 122 122 122 9832 4727 17452 667 667 667 9261 4692 4692 4692
r-565 49 0.32483 25 0.896667 41217 352340 41217 352340 58200 774911 2279 414546 2279 414546 313673 604092 313673 604092
