instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-581 30 0.517241 30 0.517241 24907084 21932864 21570714 21416721
r-856 29 0.487685 29 0.487685 16483893 14591261 13953398 13758157
r-694 23 0.166008 23 0.166008 210495 168985 148535 135656
r-275 16 0.5 16 0.5 13567 15096 10665 10461
r-634 22 0.17316 22 0.17316 490501 350093 264769 228664
r-731 19 0.19883 19 0.19883 272860429 -1 272859758 272859758
r-5 27 0.358974 27 0.358974 5092261 3443797 938782 814283
r-470 39 0.48583 39 0.48583 279359213 252518063 185204227 180370205
r-772 35 0.510924 35 0.510924 270392247 258902862 240797479 237562279
r-926 30 0.404598 30 0.404598 10578803 4491301 3072896 2883719
r-448 28 0.349206 28 0.349206 8832088 9644185 6663853 6491622
r-61 42 0.501742 42 0.501742 -1 -1 -1 -1
r-658 20 0.336842 20 0.336842 18328 1990586 13995 13982
r-55 42 0.493612 42 0.493612 864878950 1127488748 753357383 760211685
r-173 40 0.384615 40 0.384615 2802042268 -1 2613716970 2644475967
r-483 29 0.295567 29 0.295567 23040939 20897144 18138717 17497588
r-463 34 0.40107 34 0.40107 121847517 47964693 19652805 17943845
r-335 21 0.466667 21 0.466667 105372 79074 72356 70384
r-356 45 0.20202 45 0.20202 -1 -1 -1 -1
r-504 27 0.512821 27 0.512821 14059256 12794204 12380640 12207807
