instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-487 30 0.23908 30 0.23908 -1 -1 -1 -1
r-940 30 0.434483 30 0.434483 2066092 1218665 1550257 1556973
r-800 29 0.339901 29 0.339901 664882 1233042 640487 642967
r-387 22 0.415584 22 0.415584 88704 17391 73496 73071
r-49 29 0.44335 29 0.44335 293613 1828678 179044 179138
r-918 24 0.507246 24 0.507246 388617 1296890 245589 240723
r-853 23 0.237154 23 0.237154 81733 12719 87743 89077
r-142 35 0.393277 35 0.393277 19633616 61190389 16969665 16904131
r-709 22 0.52381 22 0.52381 196982 48507 174680 173770
r-548 27 0.262108 27 0.262108 551482 -1 543830 543841
r-715 22 0.367965 22 0.367965 146801 283348 14401 14464
r-767 29 0.37931 29 0.37931 208700 587104 158924 159344
r-128 33 0.306818 33 0.306818 2749595 -1 2481977 2483719
r-552 45 0.438384 45 0.438384 249302752 43256039 250918364 256458306
r-841 17 0.514706 17 0.514706 15688 12428 14128 13742
r-893 30 0.514943 30 0.514943 1311905 4787638 1020116 1035386
r-341 40 0.466667 40 0.466667 104065756 38957306 89827847 90812830
r-672 25 0.42 25 0.42 379140 830474 203866 200217
r-401 19 0.19883 19 0.19883 2901 4436 789 823
r-923 33 0.306818 33 0.306818 1318383 -1 1153822 1154870
r-479 36 0.107937 36 0.107937 -1 -1 -1 -1
r-274 32 0.387097 32 0.387097 11978235 36649748 10182785 10092638
r-859 23 0.498024 23 0.498024 252040 129294 202182 200104
r-56 16 0.4 16 0.4 4957 4334 4433 4360
r-155 39 0.099865 39 0.099865 20880462 47773276 21048013 21859316
r-680 18 0.20915 18 0.20915 1043102 818147515 5409 5409
r-736 22 0.519481 22 0.519481 253891 183109 212091 207752
r-97 25 0.453333 25 0.453333 1294836 851322 1121015 1116823
r-414 20 0.336842 20 0.336842 65535 32734 63728 64368
r-639 27 0.358974 27 0.358974 134601 187783 110530 110741
r-808 35 0.363025 35 0.363025 10479181 11724027 526092 521004
r-581 30 0.517241 30 0.517241 7629801 2182177 6070579 5891458
r-856 29 0.487685 29 0.487685 6541468 4183064 5617294 5548280
r-694 23 0.166008 23 0.166008 7406 50803 1934 1916
