mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
35607 35907 201309 251705 35413 189305 35607 35607 41215 250065 41011 41215 41215 36123 36123
142584 164002 789465 1026294 181937 867925 142584 142584 200103 1364169 262532 200103 200103 193675 193675
2857 2909 98818 92938 2866 93827 2857 2857 3327 115743 3333 3327 3327 5056 5056
697317298 704738564 603875361 606098568 4070400 3281814 3281814 3281814 896525650 775822882 4996173 3957879 3957879 3869919 3869919
4485 7084 4230 5522 1406 1277 1277 1277 4932 4671 1662 1513 1513 1218 1218
5942 6017 45170 49388 5890 48848 5942 5942 6563 55573 6508 6563 6563 6505 6505
830787 891609 -1 -1 845648 -1 830787 830787 900138 -1 931651 900138 900138 863931 863931
10213384 13150797 8566610 8813885 2451168 1389454 1389454 1389454 10596456 8657494 2584600 1406633 1406633 2079580 2079580
49765 51961 37218 36680 42627 9491 9491 49765 59664 39838 51658 8286 59664 38564 38564
817676 1292275 757791 894769 364088 369003 369003 369003 1459059 1311488 539718 548582 548582 359240 359240
58451651 251292784 55836753 62364127 1082827 516245 516245 516245 80030690 76222817 1525660 710582 710582 1029206 1029206
-1 -1 -1 -1 1119148987 1138576959 -1 1138576959 -1 -1 1157109244 -1 1158274422 1109331772 1109331772
98927 106174 252704 268816 87912 291296 98927 98927 108005 346016 99667 108005 108005 88210 88210
1498412 2298706 1241143 1424855 238306 91715 91715 91715 1933852 1583588 284059 106702 106702 222058 222058
332552463 915129574 344266778 442452164 10715754 9739486 9739486 9739486 442189384 433126887 12441448 10869000 10869000 10574479 10574479
68222 72768 10291231 10443494 105251 10378469 68222 68222 73815 12022400 94987 73815 73815 112595 112595
280735092 288311631 1679303715 2096886066 278722888 1765783757 280735092 280735092 361352586 2390673328 359902014 361352586 361352586 286182990 286182990
169280 1294433 161200 647864 31378 24710 24710 24710 245759 233632 38914 31020 31020 29069 29069
18570 18688 31356 30399 18570 35772 18570 18570 17745 29471 17745 17745 17745 18700 18700
462247509 509628272 681966132 754967433 428383199 483920877 483920877 462247509 671065893 995556454 621338965 711110880 671065893 426043200 426043200
133785 190161 114234 129152 4310 2332 2332 2332 157667 133588 4855 2681 2681 3619 3619
194278442 346702295 161498822 182107665 11631898 7404643 7404643 7404643 221001102 183258484 12232967 7612480 7612480 11086232 11086232
19278442 22741652 16960001 16362633 17954592 12274394 12274394 19278442 31423025 27573392 29257579 20192001 31423025 17717872 17717872
295594 299682 1213251 1349822 293732 1336829 295594 295594 293982 1365772 292399 293982 293982 297013 297013
19895044 24467270 18393040 19851859 1741161 1449094 1449094 1449094 25215482 23190029 2244758 1874016 1874016 1689851 1689851
2206 2254 135221 284434 3232 132083 2206 2206 3213 180756 4341 3213 3213 3597 3597
23857 25365 80514 86938 28839 85412 23857 23857 25180 98796 31286 25180 25180 31821 31821
56630 56808 846657 1402085 56715 1061355 56630 56630 53735 931691 53854 53735 53735 61182 61182
154 127 179 106 167 140 154 140 90 102 121 90 130 160 160
11439 18170 22065 40935 8239 14187 11439 11439 15496 36008 11219 15496 15496 8369 8369
588205517 630338417 535445691 543880346 1336638 833535 833535 833535 656758834 596979340 1391378 796583 796583 1102496 1102496
9109459 9433414 59401484 61449788 10082558 58642914 9109459 9109459 9703353 66189977 10845950 9703353 9703353 10623827 10623827
571989 652384 2006234 2189826 615844 2444617 571989 571989 755420 2707272 821532 755420 755420 644924 644924
