instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-478 40 0.301282 48 0.303191 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-963 30 0.278161 36 0.293651 29958 53386 29704 54441 29577 51815 98167 51269 61951 54756 62271
r-834 11 0.254545 42 0.299652 0 0 0 0 0 0 0 0 0 0 0
r-719 30 0.310345 27 0.339031 12047 8278 7916 11537 7964 22402 13885 13839 12330 10316 10355
r-385 35 0.302521 40 0.330769 968395 594810 955123 643745 916059 1000000 1000000 1000000 796166 701121 795923
r-784 37 0.292793 16 0.291667 264 57 37 251 61 569 42 42 183 92 58
r-923 13 0.320513 48 0.317376 8 30 8 47 8 13 30 13 10 77 10
r-864 17 0.279412 21 0.309524 29 23 29 24 18 41 58 25 35 42 22
r-492 17 0.316176 11 0.309091 0 0 0 0 0 0 0 0 0 0 0
r-700 25 0.306667 26 0.316923 1408 1154 1076 1169 1222 1847 2000 1815 1266 1242 1705
r-280 19 0.304094 31 0.346237 592 853 633 1006 575 911 1438 689 578 968 522
r-566 23 0.332016 29 0.278325 1130 1704 719 1503 891 1487 3027 1145 1116 1496 1116
r-171 14 0.32967 32 0.270161 5 34 7 54 7 9 69 5 30 24 50
r-680 24 0.268116 16 0.216667 27 13 8 49 13 64 16 10 33 15 9
r-576 16 0.341667 33 0.30303 115 390 74 286 74 154 456 154 113 227 113
r-819 40 0.280769 18 0.326797 983 114 156 624 189 955 145 145 808 712 706
r-339 41 0.332927 26 0.301538 54111 33660 33523 55248 32639 99913 56953 57148 57266 40024 39016
r-173 25 0.31 30 0.285057 3644 5506 3681 5347 4108 5755 9484 5771 2402 4790 2356
r-142 31 0.273118 10 0.133333 0 0 0 0 0 0 0 0 0 0 0
r-801 29 0.29803 47 0.300648 148220 382666 149226 376115 148516 246484 716351 246735 222543 404821 222650
r-36 49 0.318878 18 0.261438 2060 564 408 2117 368 2834 604 442 1779 487 550
r-531 18 0.294118 22 0.363636 43 60 43 66 39 104 59 103 75 71 76
r-194 17 0.183824 31 0.286022 53 150 53 160 53 63 200 63 63 101 48
