mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
3051780 3848237 612522 661055 2560515 492806 492806
195589 251658 311087 339378 170559 290140 195589
58803973 65586085 42105449 46558101 44989733 28816658 58803973
448664 476499 617427 648159 364890 496268 448664
358270 443370 522904 565553 314330 417815 358270
-1 -1 -1 -1 3716382206 3071815272 -1
378362 424456 384707 420436 332075 281930 281930
27799 35422 51297 57805 24294 62433 27799
777083 893574 1141586 1266556 669332 1002946 1002946
952041009 1158217800 1210299327 1413088650 856673937 987536384 987536384
389613996 428904904 693774915 764509774 351343686 506408951 389613996
58721385 74186559 72772023 82197440 52496054 58793929 58721385
95 125 85 85 88 101 95
9195138 10587443 8037260 8569438 8083231 6037495 9195138
49777 55023 48913 52469 43851 36075 36075
1229295487 1287528365 2818765777 2988938659 951676718 1942230012 1229295487
-1 -1 -1 -1 -1 -1 -1
139443 167458 160447 176852 105073 146031 139443
906782698 1035425755 2112865875 2391157997 771569791 1796573467 906782698
1768 1872 1661 1716 1552 1574 1768
336179 374159 354457 344734 314277 229703 229703
1225098 1314939 1591771 1771398 1141503 1267118 1225098
619358834 725522477 1084351284 1197008887 590058754 876816013 619358834
255631695 276980749 406739732 431639758 196447743 271163580 255631695
2980 3744 2590 2781 2677 2877 2980
1329641 1662495 1438768 1641145 1170890 1244304 1244304
967395395 1097871866 -1 -1 951784725 3869760634 967395395
37802299 49089548 39556535 44999677 33065772 34137480 37802299
175 180 110 110 157 104 175
17858706 20917554 26086451 28797506 16496421 21360867 17858706
214241731 250842565 328732095 368293286 192377555 296304764 296304764
96116 108375 116911 129168 83821 96391 96116
7861 8938 6857 7615 6071 5034 5034
236223 257927 364116 378517 240850 345053 236223
-1 -1 -1 -1 4779746501 4068184493 4068184493
-1 -1 -1 -1 -1 -1 -1
88297 99646 97077 103428 74664 81422 88297
-1 -1 -1 -1 -1 -1 -1
99 99 345 352 99 360 99
655801657 727943828 885396712 973524244 559972483 600283016 655801657
51668661 61478469 13162706 14159646 47805921 10882834 51668661
83208 87001 154990 169101 72776 146306 83208
707 1138 1317 1428 649 1341 707
18687502 19295524 20372890 21353808 15412170 13362320 18687502
12062652 13038442 16064891 17448912 10941874 13600598 12062652
2128670 2256022 2079724 2212608 1913881 1460314 1460314
29975 32699 36766 39708 27474 36158 29975
8513149 9552561 9039772 10396546 7232848 6451641 8513149
208566 263131 206425 234672 186524 227005 227005
-1 -1 -1 -1 -1 -1 -1
1107617731 1491787845 1089837391 1241668836 951501642 869648096 869648096
551838965 589374599 593445951 635524628 429216149 454267977 551838965
65 36 60 58 65 32 65
103369879 119132760 107941399 117009020 120383950 121669251 103369879
150831 162465 218329 243746 141305 176914 150831
7276 8431 6919 7351 6595 5567 5567
22903 25836 20049 20796 17628 15232 22903
92260406 102074796 106592244 121936453 80427699 83781997 83781997
12769 14160 14736 16067 10830 15984 12769
74363 79874 65516 67044 60257 56984 74363
110759 138500 148205 160441 93157 123554 123554
5395 6436 5318 5456 4995 3029 3029
-1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
47348672 52059334 80280856 89670377 40857967 56618390 47348672
159 159 143 143 146 139 159
30569035 23948455 55517540 64230578 27663165 49819241 30569035
3412 2107 3516 3978 4116 5981 3412
4428 5378 10008 10198 3633 8541 8541
-1 -1 -1 -1 -1 -1 -1
5287028 6441210 6603048 7265744 4536806 5713811 5287028
3484624760 -1 -1 -1 2961139943 3863178438 3863178438
6406 7301 7105 7632 5611 6986 6406
-1 -1 -1 -1 -1 -1 -1
55507219 61326031 19077220 20936502 48834977 15268184 55507219
1298 1322 2544 2668 689 1848 1298
48455440 53833323 48916566 54939136 35228648 23046978 48455440
26678 29307 25034 26364 22512 22443 22443
12652 14927 14980 15359 12254 11502 12652
-1 -1 -1 -1 -1 -1 -1
3667 4488 4877 5290 2788 3736 3667
381239 415829 487245 518239 343502 380277 381239
3178434754 3616792901 3893280060 4313661732 2658843496 2972909294 3178434754
8026173 8951820 13014616 14504666 7575186 12985434 8026173
1592 1737 1638 1627 1496 1433 1592
20555074 24621831 14527100 16776135 19958920 12750229 20555074
17318815 18992097 19985489 21778191 15948342 15206397 17318815
