mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
110913 122988 698273 746158 105494 863075 111921 111374 158139 1000000 149434 158714 158281 117426 116992
24129 26084 16913 18241 1049 763 659 665 34703 24042 1956 860 855 1158 1035
70 73 654 982 88 898 113 114 163 1097 201 163 162 99 161
193 207 91 95 155 46 27 114 263 172 125 35 264 88 87
0 0 3 4 0 2 0 0 0 2 0 0 0 0 0
0 0 1 1 0 1 0 0 0 1 0 0 0 0 0
100 214 84 152 5 5 5 3 201 172 6 6 3 5 8
472632 497274 1000000 1000000 789968 1000000 468605 473417 656463 1000000 1000000 653436 654072 876804 875905
270 292 200 207 177 205 157 208 231 235 105 188 201 171 189
70 56 28 52 57 17 17 69 116 74 80 43 116 54 54
231532 252856 160899 161579 18291 13227 12881 13007 275700 183320 21029 14633 15218 25938 16960
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
29055 31307 311522 321728 32325 430777 28663 32630 35973 376622 39800 34717 34958 36395 36694
19646 21056 1000000 1000000 28124 1000000 19649 20784 19590 1000000 24127 21875 19597 32258 32065
2 3 19 52 2 15 2 2 2 33 4 4 4 3 3
0 0 1 1 0 1 0 0 0 2 0 0 0 0 0
549 990 489 752 3 2 2 2 837 743 3 1 1 1 3
77 76 4517 4639 78 5193 121 75 88 6818 151 87 87 93 93
15 9 55 60 14 32 32 15 10 68 10 41 16 15 15
0 0 3 23 0 1 0 0 1 4 1 1 1 0 0
0 0 0 1 0 0 0 0 0 1 0 1 0 0 0
698 2049 959 760 91 27 44 44 1121 921 124 61 37 51 81
126 134 1472 1570 286 1812 198 215 260 1930 223 263 262 319 223
5 11 130 232 13 142 5 5 11 265 16 6 11 15 15
123 414 64 101 3 2 2 2 163 124 7 3 3 5 3
0 3 0 1 0 0 0 0 0 0 0 0 0 0 0
41259 43962 75564 80356 37976 69008 41134 41734 37128 80319 34616 36858 36708 40052 39876
32 21 61 36 35 79 18 32 25 47 48 25 44 38 38
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
126 84 56 59 14 14 14 14 168 128 23 8 14 13 23
258489 508072 222058 265007 53950 32397 32428 33457 427657 363953 81048 47778 47630 51790 51528
291 502 447 274 25 16 27 16 550 368 34 37 37 25 25
2 10 2 5 0 0 0 0 6 3 0 0 0 0 0
17844 25585 16954 19520 4931 4613 4614 4656 27829 26355 7139 6763 6368 5009 4988
1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 23 57 0 13 0 0 0 43 1 0 1 0 0
2781 3065 8437 9601 3184 9097 2976 3328 4739 15258 5502 4652 4672 3181 3269
87989 93629 236098 266016 88738 220728 220497 89474 126736 367659 129060 347661 127237 92360 92343
7346 7958 16028 17098 7899 22334 7482 7470 10081 22045 11122 10079 10110 8575 8571
655 1866 653 1093 139 72 72 119 949 870 203 100 100 211 209
57203 60008 48165 48932 61 36 36 35 59490 49202 60 21 36 31 55
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
561 859 370 277 139 48 80 82 676 433 184 105 105 120 137
57 67 101 190 78 116 32 56 5 186 8 5 5 89 90
725 1158 4451 3976 4169 10908 589 10812 906 5958 7271 1111 16526 5701 4483
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
90 517 180 305 214 37 37 37 204 187 282 52 32 181 191
1845 1911 17123 17390 2783 22689 2192 1842 2726 26534 4224 2938 3017 2788 2787
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
11 12 603 817 14 823 19 18 21 702 16 22 13 17 17
