mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
220 153 187 349 125 181 219
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1766 1527 2246 2256 1716 1378 1661
1 1 0 0 0 0 1
2728 3139 4800 5061 2403 4004 2615
139 164 141 155 211 125 201
412029 565624 996008 1000000 374267 1000000 1000000
924240 1000000 917007 1000000 815790 678576 671496
1 0 1 1 0 0 0
0 0 0 0 0 0 0
82934 92449 99670 109907 81225 99879 82137
186 189 169 171 231 143 233
0 0 0 0 0 0 0
0 0 0 0 0 0 0
11129 10904 20921 21879 8773 15646 10320
13 24 54 55 15 22 13
111629 128428 131640 142517 106685 110811 111183
0 0 0 0 0 0 0
13 10 16 30 9 12 7
0 0 0 0 0 0 0
1 1 1 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
53 58 75 46 52 76 53
540 445 503 562 370 566 417
407208 448303 647244 701603 372864 413503 411218
472 503 927 554 513 378 322
0 0 0 0 0 0 0
0 0 0 0 0 0 0
16 30 16 17 24 24 16
1000000 1000000 1000000 1000000 1000000 1000000 1000000
153 178 167 288 138 259 94
98 187 230 240 99 215 175
0 1 1 1 0 1 1
8853 9137 10556 11016 7699 7008 7302
48 54 77 64 75 63 48
1000000 1000000 1000000 1000000 1000000 1000000 1000000
6194 6882 4218 4546 4821 2537 2442
122 126 154 101 73 86 122
1567 1750 2134 2518 1291 1634 1659
14 16 28 19 20 24 15
264 291 332 217 177 170 282
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
374061 386376 252040 265145 286140 146195 377137
3 3 5 5 5 3 5
1000000 1000000 1000000 1000000 1000000 1000000 1000000
89441 113169 133846 147575 84438 224566 89265
955 1080 1203 1045 1261 824 954
813 1096 1129 1229 774 1105 814
0 0 0 0 0 0 0
35 37 23 43 34 32 21
1927 2174 2642 2917 1630 2497 2551
21172 28036 11035 11789 20893 15757 21406
6 11 13 7 10 15 10
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
463 813 622 735 715 654 467
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1306 1709 1371 1495 1341 1424 1311
1000000 1000000 1000000 1000000 1000000 1000000 1000000
280951 315581 526207 556335 219262 251911 257099
657 625 1084 878 675 1280 1155
36 34 60 34 35 55 36
1055 1017 2135 2428 781 2334 1006
3 3 1 1 2 2 2
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
335 426 912 1078 492 1012 840
100372 116386 207842 231391 88545 177544 100496
13535 13979 48685 50214 11452 25952 26409
1802 2202 1932 1930 1464 1535 1859
93494 103829 101958 108613 85801 76021 93665
1800 2450 2104 2658 1883 2277 1810
217511 256282 158159 177178 205435 150152 218360
6 4 6 7 4 4 3
58356 65272 50638 56633 52533 44420 44326
220 293 312 382 202 256 262
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 1 0
2 3 2 1 1 2 2
9635 10508 20163 21211 10735 13842 10099
8789 9033 8569 9468 7417 5618 8255
0 0 0 0 0 0 0
168 317 320 338 285 557 277
0 0 0 0 0 0 0
1636 2298 1094 999 1656 1090 1607
154 167 157 177 76 132 97
450 443 512 850 575 494 415
13729 14255 17745 18788 11525 11665 13517
286055 388466 76721 83087 277688 83104 285513
1407 1560 4715 3286 1191 3042 1379
6602 7023 14664 15025 5582 8885 6406
1799 1668 3811 3937 1334 6386 1556
31552 37158 43484 48660 28463 29799 31660
8550 9803 8258 8893 8282 7739 8552
7479 8675 7613 8416 6857 7231 7335
23134 24184 26544 29093 22045 20462 23529
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
6 12 6 6 5 10 6
18 20 158 100 46 145 30
0 0 0 0 0 0 0
898 627 518 418 422 336 331
5396 5877 6312 6569 5292 5876 5392
288 324 411 382 281 407 488
54 58 75 69 90 75 54
87459 103792 93880 104721 76365 78784 87673
20 22 8 10 21 8 39
410847 430816 404120 416875 290778 333602 409809
1000000 1000000 1000000 1000000 1000000 1000000 1000000
46671 48378 59817 63630 38314 33326 33455
7 7 9 9 3 4 4
1000000 1000000 1000000 1000000 1000000 1000000 1000000
4738 5967 15839 16032 4898 13524 4737
0 0 0 0 0 0 0
595 905 533 357 450 337 487
1000000 1000000 1000000 1000000 1000000 1000000 1000000
9 8 5 5 9 5 9
295 241 333 237 290 247 134
257 242 1010 1276 205 1066 254
0 0 0 0 0 0 0
284572 344643 487314 545903 254581 411033 283830
282 308 742 466 200 368 325
46 90 70 132 45 64 46
7 9 7 4 4 7 7
859092 1000000 1000000 1000000 811392 925375 859041
2 5 6 7 2 6 4
0 0 0 0 0 0 0
1337 1562 1722 2072 1191 1633 1288
9103 9989 17858 18716 9945 21247 9190
598847 708865 590736 660216 541040 546589 604963
49 59 44 49 39 45 50
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
1 0 1 0 1 1 1
23506 23817 41987 42932 18711 28028 23419
0 0 0 0 0 0 0
98615 115465 103065 114467 91920 90113 97996
21 13 18 31 21 16 21
106 111 120 72 95 83 61
0 0 0 0 0 0 0
55724 70344 518291 574900 50492 402878 404005
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1164 700 970 995 749 866 723
1377 1611 2082 2100 1249 1205 1366
209 138 142 246 186 175 211
1483 1523 2516 2583 1298 1949 1388
197113 225487 296460 327001 164471 207133 196844
137 151 226 328 211 218 134
0 0 0 0 0 0 0
10 10 5 6 9 3 6
112579 129300 133493 146790 109498 126033 112513
0 0 0 0 0 0 0
650575 808818 1000000 1000000 623090 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
27805 34779 28767 30226 25322 27012 27070
1768 2111 1841 2410 1742 1704 1735
1 2 1 1 1 0 1
5363 5040 6884 7551 3739 5564 5452
0 0 0 0 0 0 0
1557 1594 2141 2383 1460 2311 1283
114388 135349 123663 139412 108770 120712 114332
0 0 0 0 0 0 0
66840 81022 87645 99064 57215 76365 66642
9 11 12 12 9 12 9
1417 1659 1664 1684 1456 1203 1605
0 0 0 0 0 0 0
352946 394506 234981 258535 334487 198050 198563
9607 10073 20447 20828 8706 14367 9391
244 409 479 340 416 374 238
49736 53440 112793 124927 44416 123717 124296
291 207 207 132 306 211 293
0 0 0 0 0 0 0
