instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
g18-g26 0 0 0 0 0 0 0 0 4 2 153 0 0 2 0 0
g18-g27 0 0 0 0 0 0 1 0 17 20 12 0 0 2 0 0
g18-g28 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g18-g29 37 39 40 41 28 79 21064 29268 162743 130715 129739 28 39 2 21064 28
g18-g30 15 16 10 11 5 19 7951 11474 57605 47062 50068 5 16 2 7951 5
g18-g31 29 19 30 19 17 37 30489 34155 325843 273506 240834 17 19 2 30489 17
g18-g32 0 0 0 0 0 0 8 1 237 208 9 0 0 2 1 0
g18-g33 0 0 0 0 0 0 4 4 2 1 2 0 0 2 1 0
g18-g34 1 0 1 0 0 2 0 12 1 1 2 0 0 2 0 0
g18-g35 0 0 0 0 0 0 2 11 2 2 894 0 0 2 2 0
g18-g36 3 1 3 1 1 6 2 27 3 3 3 1 1 2 2 1
g18-g37 21 14 14 21 8 20 23 123 48 50 110 8 14 2 23 8
g18-g38 0 0 0 0 0 1 0 0 119 121 58 0 0 2 0 0
g18-g39 0 0 0 0 0 0 6 8 1 2 2 0 0 2 1 0
g18-g40 2 3 1 3 2 1 607 380 746852 670284 138903 2 3 2 380 1
g18-g41 0 0 0 0 0 0 8 8 2 3 3 0 0 2 2 0
g18-g42 0 0 0 0 0 0 9 11 5 5 5 0 0 2 5 0
g18-g43 1 3 2 3 2 2 22 20 57 35 46518 2 3 2 20 2
g18-g44 1181 1289 1288 1285 2244 1706 6059 9699 56802 46114 1000000 1389 2344 2 6059 1289
g18-g45 382 440 441 450 700 520 1855 2990 14412 11371 1000000 540 800 2 1855 440
g18-g46 2872 3075 2990 3048 2218 4452 10460 32253 50440 40196 60144 3175 2318 2 10460 2218
g18-g47 1990 2105 2134 2132 1523 3071 7451 23067 33801 27278 41822 2205 1623 2 7451 1523
g18-g48 3325 3534 3506 3538 2463 4989 19302 50157 97284 78850 109701 3634 2563 2 19302 2463
g18-g49 7 7 4 4 3 7 29 39 81 49 97 3 7 2 29 3
g18-g50 5 9 6 9 8 3 87 95 8784 8050 3711 8 9 2 87 3
g19-g20 0 0 0 0 0 0 0 0 5736 4879 660 0 0 2 0 0
g19-g21 0 0 0 0 0 0 2 0 983 903 11 0 0 2 0 0
g19-g22 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0
g19-g23 0 0 0 0 0 0 0 0 3 2 13 0 0 2 0 0
g19-g25 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0
g19-g26 0 0 0 0 0 0 0 0 2 2 10 0 0 2 0 0
g19-g27 0 0 0 0 0 0 5 2 13 12 2 0 0 2 2 0
g19-g28 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g19-g29 196 243 84 208 281 233 3694 3690 12283 10147 12718 343 381 2 3690 233
g19-g30 69 112 12 73 70 76 1691 1710 5839 4742 5447 70 170 2 1691 70
g19-g31 205 221 37 181 199 186 7042 6582 31923 26541 28643 321 299 2 6582 186
g19-g32 0 0 0 0 0 0 12 1 251 201 14 0 0 2 1 0
g19-g33 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0
g19-g35 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g19-g37 1 1 10 1 1 1 7 14 33 31 8 1 1 2 7 1
g19-g38 0 0 0 0 0 0 0 0 19 22 79 0 0 2 0 0
g19-g40 8 8 1 5 6 5 634 540 1000000 1000000 77040 6 8 2 540 5
g19-g41 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0
g19-g42 0 0 0 0 0 0 3 3 1 5 0 0 0 2 0 0
g19-g43 0 0 1 0 1 1 5 7 50 31 177 1 0 2 5 0
g19-g44 168 230 1083 229 297 243 1093 1197 6668 5433 27399 330 397 2 1093 230
g19-g45 54 87 329 56 84 62 349 394 2218 1780 8852 84 87 2 349 62
g19-g46 185 225 2219 242 228 294 658 1453 1930 1579 2752 325 328 2 658 225
g19-g47 142 184 1656 181 202 231 518 1102 1500 1235 2108 284 302 2 518 184
g19-g48 286 344 3341 356 355 454 1270 2182 3379 2704 4905 444 455 2 1270 344
g19-g49 1 1 3 1 1 1 11 25 73 59 20 1 1 2 11 1
g19-g50 5 8 5 9 8 3 46 79 7707 6926 1360 8 8 2 46 3
g2-g10 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g11 0 0 0 0 0 0 0 0 5 2 0 0 0 2 0 0
g2-g12 2 3 2 3 3 2 2 10 88 46 222 3 3 2 2 2
g2-g13 0 0 0 0 0 0 1 1 7 5 37 0 0 2 1 0
g2-g14 0 0 0 0 0 0 1 1 6 2 32 0 0 2 1 0
g2-g15 0 0 0 0 0 0 1 1 11 5 51 0 0 2 1 0
g2-g16 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g17 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g18 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g19 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g20 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g2-g21 0 0 0 0 0 0 2 0 249 248 131 0 0 2 0 0
g2-g22 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
g2-g23 0 0 0 0 0 0 2 1 23 12 91 0 0 2 1 0
g2-g24 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0
g2-g25 0 0 0 0 0 0 0 0 3 2 14 0 0 2 0 0
g2-g26 1 2 1 1 5 3 6 3 102 70 371 5 2 2 3 2
g2-g27 0 0 0 0 0 0 1 0 6 4 11 0 0 2 0 0
