instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.70-0.66-0.70-5 12791 10883 37990 37788 18262 7413 64241 46467 1000000 1000000 1000000 10983 18362 12 46467 7413
phase-30-150-0.70-0.66-0.70-6 3035 2659 84249 84608 7490 1725 118971 88637 1000000 1000000 1000000 2759 7590 12 88637 1725
phase-30-150-0.70-0.66-0.70-7 1380 1206 1184 9395 1537 1012 13449 9791 1000000 1000000 1000000 1306 1637 12 9791 1012
phase-30-150-0.70-0.66-0.70-8 2468 2101 21276 21429 6059 1639 29901 21572 1000000 1000000 1000000 2201 6159 12 21572 1639
phase-30-150-0.72-0.66-0.70-1 6372 5431 10313 10155 7701 3648 15548 11249 1000000 1000000 1000000 5531 7801 12 11249 3648
phase-30-150-0.72-0.66-0.70-2 12204 10698 118273 118105 14536 6493 162198 118453 1000000 1000000 1000000 10798 14636 12 118453 6493
phase-30-150-0.72-0.66-0.70-3 17238 15096 61924 61734 29237 9874 90689 66475 1000000 1000000 1000000 15196 29337 12 66475 9874
phase-30-150-0.72-0.66-0.70-4 2293 1961 227607 227399 9949 1331 428749 313770 1000000 1000000 1000000 2061 10049 12 313770 1331
phase-30-150-0.72-0.66-0.70-5 4670 4045 169923 168916 9771 2891 245388 174076 1000000 1000000 1000000 4145 9871 12 174076 2891
phase-30-150-0.72-0.66-0.70-6 12523 10912 23025 22878 9958 6964 35774 25503 1000000 1000000 1000000 11012 10058 12 25503 6964
phase-30-150-0.72-0.66-0.70-7 9611 8381 29150 29060 18078 6205 43941 32254 1000000 1000000 1000000 8481 18178 12 32254 6205
phase-30-150-0.72-0.66-0.70-8 19600 17295 23488 23384 38213 10773 31238 22868 1000000 1000000 1000000 17395 38313 12 22868 10773
phase-30-150-0.74-0.68-0.70-1 7450 6858 43872 44247 11401 3835 63159 45921 1000000 1000000 1000000 6958 11501 12 45921 3835
phase-30-150-0.74-0.68-0.70-2 6680 5828 54627 54885 8104 3732 73428 53053 1000000 1000000 1000000 5928 8204 12 53053 3732
phase-30-150-0.74-0.68-0.70-3 1030 878 6698 6649 1160 706 9206 6663 1000000 1000000 1000000 978 1260 12 6663 706
phase-30-150-0.74-0.68-0.70-4 2634 2188 43417 43369 3188 1693 69262 51027 1000000 1000000 1000000 2288 3288 12 51027 1693
phase-30-150-0.74-0.68-0.70-5 3489 2780 334397 333484 17359 2019 530847 393405 1000000 1000000 1000000 2880 17459 12 393405 2019
