instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-images-CVIU11-pattern11-target40 13 689 6127 4768 14
all-images-CVIU11-pattern11-target41 14 972 4706 5919 14
all-images-CVIU11-pattern11-target42 6 906 5020 5237 14
all-images-CVIU11-pattern11-target43 19 952 8813 9429 14
all-images-CVIU11-pattern11-target44 9 985 16023 14858 14
all-images-CVIU11-pattern11-target45 8 800 13236 12520 14
all-images-CVIU11-pattern11-target46 7 918 4804 4671 14
all-images-CVIU11-pattern11-target47 13 629 9130 10152 14
all-images-CVIU11-pattern11-target48 5 476 3119 2479 14
all-images-CVIU11-pattern11-target49 5 815 5338 4688 14
all-images-CVIU11-pattern11-target5 9 1073 10532 10195 14
all-images-CVIU11-pattern11-target50 8 1446 11266 10753 14
all-images-CVIU11-pattern11-target51 8 512 4047 4082 14
all-images-CVIU11-pattern11-target52 10 699 4025 3848 14
all-images-CVIU11-pattern11-target53 4 416 2029 2525 14
all-images-CVIU11-pattern11-target54 20 986 3078 2407 14
all-images-CVIU11-pattern11-target55 4 375 2288 2389 14
all-images-CVIU11-pattern11-target56 7 283 1647 1590 14
all-images-CVIU11-pattern11-target57 11 1579 15201 15343 14
all-images-CVIU11-pattern11-target58 3 277 2433 1692 14
all-images-CVIU11-pattern11-target59 10 782 9027 8722 14
all-images-CVIU11-pattern11-target6 7 1078 9115 8927 14
all-images-CVIU11-pattern11-target60 13 517 4330 4410 14
all-images-CVIU11-pattern11-target61 9 757 8236 9686 14
all-images-CVIU11-pattern11-target62 11 924 9989 9223 14
all-images-CVIU11-pattern11-target63 8 742 6935 6978 14
all-images-CVIU11-pattern11-target64 8 572 4601 4410 14
all-images-CVIU11-pattern11-target65 12 651 4210 4121 14
all-images-CVIU11-pattern11-target66 6 464 2216 2622 14
