instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
si4_b06m_m800.06 0 0 0 0 0 5 42 21 0 38 1 0 0 si4_b06m_m800.06 320 0.0143809 800 0.00750313
si4_b06m_m800.05 0 0 0 0 1 5 44 22 0 47 1 1 0 si4_b06m_m800.05 320 0.0144592 800 0.00750313
si4_b06m_m800.04 0 0 0 0 0 7 54 35 0 22 1 0 0 si4_b06m_m800.04 320 0.014185 800 0.00750939
si4_b06m_m800.09 0 0 0 0 1 7 43 21 0 23 1 1 0 si4_b06m_m800.09 320 0.0139107 800 0.00750626
si4_b06m_m800.01 0 0 0 0 0 5 46 22 1 87 0 0 0 si4_b06m_m800.01 320 0.0141262 800 0.00750313
si4_b06m_m800.07 0 0 0 0 1 7 66 22 0 23 1 1 0 si4_b06m_m800.07 320 0.0135384 800 0.0075
si4_b06m_m800.03 0 0 0 0 1 4 41 35 0 30 0 1 0 si4_b06m_m800.03 320 0.0131074 800 0.00750626
si4_b06m_m800.02 0 0 0 0 1 7 67 22 0 31 0 1 0 si4_b06m_m800.02 320 0.013989 800 0.00750939
si6_m4Dr2_m625.08 0 1 0 0 0 6 51 24 2 83 1 0 1 si6_m4Dr2_m625.08 375 0.0127487 625 0.00935385
si6_m4Dr2_m625.09 0 0 0 0 1 6 51 23 1 81 1 1 0 si6_m4Dr2_m625.09 375 0.0120784 625 0.00935897
si6_m4Dr2_m625.05 1 2 1 1 1 9 87 24 4 72 15 1 2 si6_m4Dr2_m625.05 375 0.0122068 625 0.00935385
si6_m4Dr2_m625.01 0 0 1 0 1 4 41 35 0 39 0 1 0 si6_m4Dr2_m625.01 375 0.0142602 625 0.00935385
si6_m4Dr2_m625.06 0 0 0 1 1 4 47 23 0 45 1 1 0 si6_m4Dr2_m625.06 375 0.0131765 625 0.00935897
si6_m4Dr2_m625.00 1 1 1 0 0 4 62 22 0 34 1 0 1 si6_m4Dr2_m625.00 375 0.012164 625 0.00935897
si6_m4Dr2_m625.03 0 0 1 0 1 6 46 22 0 40 0 1 0 si6_m4Dr2_m625.03 375 0.013262 625 0.00935897
si6_m4Dr2_m625.02 1 0 1 0 1 5 51 25 0 73 1 1 0 si6_m4Dr2_m625.02 375 0.0125633 625 0.00935385
si6_m4Dr2_m625.07 0 0 0 0 0 4 47 23 0 39 1 0 0 si6_m4Dr2_m625.07 375 0.0130481 625 0.00934872
si6_m4Dr2_m625.04 1 0 0 0 1 7 68 28 0 95 1 1 0 si6_m4Dr2_m625.04 375 0.0129198 625 0.00935897
si2_m4D_m1296.01 5 4 6 4 6 24 360 339 2 59 355 6 4 si2_m4D_m1296.01 259 0.0162821 1296 0.00429
si2_m4D_m1296.08 0 0 0 0 0 9 62 28 0 31 20 0 0 si2_m4D_m1296.08 259 0.0198737 1296 0.00429
si2_m4D_m1296.06 22 23 15 15 17 135 164 396 43 86 3333 17 23 si2_m4D_m1296.06 259 0.0161623 1296 0.00429
si2_m4D_m1296.05 1 0 1 1 3 17 108 55 3 33 62 3 0 si2_m4D_m1296.05 259 0.0207716 1296 0.00429
si2_m4D_m1296.09 5 5 8 5 14 36 67 49 26 46 237 14 5 si2_m4D_m1296.09 259 0.0201131 1296 0.00429
si2_m4D_m1296.03 0 2 1 1 2 14 378 209 0 47 19 2 2 si2_m4D_m1296.03 259 0.0161623 1296 0.00429
si2_m4D_m1296.07 1 1 2 2 4 15 80 49 3 54 129 4 1 si2_m4D_m1296.07 259 0.0193948 1296 0.00429
si2_m4D_m1296.02 3 2 2 2 3 17 73 60 2 46 163 3 2 si2_m4D_m1296.02 259 0.0200832 1296 0.00429
si2_m4D_m1296.04 2 4 2 2 4 20 69 45 6 74 315 4 4 si2_m4D_m1296.04 259 0.020173 1296 0.00429
